,Unnamed: 0,dataid,local_15min,solar_total,grid
245252,280288,2606,2015-01-01 00:00:00-06,,1.034
245253,280289,2606,2015-01-01 00:15:00-06,,0.997
245254,280290,2606,2015-01-01 00:30:00-06,,0.944
245255,280291,2606,2015-01-01 00:45:00-06,,1.07
245256,280292,2606,2015-01-01 01:00:00-06,,1.121
245257,280293,2606,2015-01-01 01:15:00-06,,1.073
245258,280294,2606,2015-01-01 01:30:00-06,,0.946
245259,280295,2606,2015-01-01 01:45:00-06,,0.961
245260,280296,2606,2015-01-01 02:00:00-06,,1.047
245261,280297,2606,2015-01-01 02:15:00-06,,1.115
245262,280298,2606,2015-01-01 02:30:00-06,,1.647
245263,280299,2606,2015-01-01 02:45:00-06,,2.267
245264,280300,2606,2015-01-01 03:00:00-06,,2.03
245265,280301,2606,2015-01-01 03:15:00-06,,2.024
245266,280302,2606,2015-01-01 03:30:00-06,,1.036
245267,280303,2606,2015-01-01 03:45:00-06,,0.256
245268,280304,2606,2015-01-01 04:00:00-06,,0.319
245269,280305,2606,2015-01-01 04:15:00-06,,0.346
245270,280306,2606,2015-01-01 04:30:00-06,,0.44
245271,280307,2606,2015-01-01 04:45:00-06,,0.442
245272,280308,2606,2015-01-01 05:00:00-06,,0.442
245273,280309,2606,2015-01-01 05:15:00-06,,0.173
245274,280310,2606,2015-01-01 05:30:00-06,,0.121
245275,280311,2606,2015-01-01 05:45:00-06,,0.202
245276,280312,2606,2015-01-01 06:00:00-06,,0.471
245277,280313,2606,2015-01-01 06:15:00-06,,0.357
245278,280314,2606,2015-01-01 06:30:00-06,,0.347
245279,280315,2606,2015-01-01 06:45:00-06,,0.439
245280,280316,2606,2015-01-01 07:00:00-06,,0.4
245281,280317,2606,2015-01-01 07:15:00-06,,0.119
245282,280318,2606,2015-01-01 07:30:00-06,,0.282
245283,280319,2606,2015-01-01 07:45:00-06,,0.226
245284,280320,2606,2015-01-01 08:00:00-06,,0.349
245285,280321,2606,2015-01-01 08:15:00-06,,0.439
245286,280322,2606,2015-01-01 08:30:00-06,,0.466
245287,280323,2606,2015-01-01 08:45:00-06,,0.463
245288,280324,2606,2015-01-01 09:00:00-06,,0.455
245289,280325,2606,2015-01-01 09:15:00-06,,0.368
245290,280326,2606,2015-01-01 09:30:00-06,,0.336
245291,280327,2606,2015-01-01 09:45:00-06,,0.352
245292,280328,2606,2015-01-01 10:00:00-06,,0.331
245293,280329,2606,2015-01-01 10:15:00-06,,0.29
245294,280330,2606,2015-01-01 10:30:00-06,,0.349
245295,280331,2606,2015-01-01 10:45:00-06,,0.43
245296,280332,2606,2015-01-01 11:00:00-06,,0.378
245297,280333,2606,2015-01-01 11:15:00-06,,0.282
245298,280334,2606,2015-01-01 11:30:00-06,,0.214
245299,280335,2606,2015-01-01 11:45:00-06,,0.378
245300,280336,2606,2015-01-01 12:00:00-06,,0.255
245301,280337,2606,2015-01-01 12:15:00-06,,0.222
245302,280338,2606,2015-01-01 12:30:00-06,,0.22
245303,280339,2606,2015-01-01 12:45:00-06,,0.341
245304,280340,2606,2015-01-01 13:00:00-06,,0.487
245305,280341,2606,2015-01-01 13:15:00-06,,0.361
245306,280342,2606,2015-01-01 13:30:00-06,,1.728
245307,280343,2606,2015-01-01 13:45:00-06,,3.713
245308,280344,2606,2015-01-01 14:00:00-06,,2.288
245309,280345,2606,2015-01-01 14:15:00-06,,1.579
245310,280346,2606,2015-01-01 14:30:00-06,,0.91
245311,280347,2606,2015-01-01 14:45:00-06,,0.877
245312,280348,2606,2015-01-01 15:00:00-06,,1.514
245313,280349,2606,2015-01-01 15:15:00-06,,1.751
245314,280350,2606,2015-01-01 15:30:00-06,,1.421
245315,280351,2606,2015-01-01 15:45:00-06,,1.141
245316,280352,2606,2015-01-01 16:00:00-06,,0.924
245317,280353,2606,2015-01-01 16:15:00-06,,0.922
245318,280354,2606,2015-01-01 16:30:00-06,,0.896
245319,280355,2606,2015-01-01 16:45:00-06,,0.802
245320,280356,2606,2015-01-01 17:00:00-06,,0.693
245321,280357,2606,2015-01-01 17:15:00-06,,0.668
245322,280358,2606,2015-01-01 17:30:00-06,,0.667
245323,280359,2606,2015-01-01 17:45:00-06,,0.634
245324,280360,2606,2015-01-01 18:00:00-06,,0.346
245325,280361,2606,2015-01-01 18:15:00-06,,0.434
245326,280362,2606,2015-01-01 18:30:00-06,,0.438
245327,280363,2606,2015-01-01 18:45:00-06,,0.434
245328,280364,2606,2015-01-01 19:00:00-06,,0.433
245329,280365,2606,2015-01-01 19:15:00-06,,0.431
245330,280366,2606,2015-01-01 19:30:00-06,,1.144
245331,280367,2606,2015-01-01 19:45:00-06,,1.9
245332,280368,2606,2015-01-01 20:00:00-06,,1.895
245333,280369,2606,2015-01-01 20:15:00-06,,1.899
245334,280370,2606,2015-01-01 20:30:00-06,,1.83
245335,280371,2606,2015-01-01 20:45:00-06,,1.805
245336,280372,2606,2015-01-01 21:00:00-06,,1.972
245337,280373,2606,2015-01-01 21:15:00-06,,1.821
245338,280374,2606,2015-01-01 21:30:00-06,,2.005
245339,280375,2606,2015-01-01 21:45:00-06,,2.185
245340,280376,2606,2015-01-01 22:00:00-06,,2.188
245341,280377,2606,2015-01-01 22:15:00-06,,2.331
245342,280378,2606,2015-01-01 22:30:00-06,,2.359
245343,280379,2606,2015-01-01 22:45:00-06,,2.119
245344,280380,2606,2015-01-01 23:00:00-06,,2.016
245345,280381,2606,2015-01-01 23:15:00-06,,2.018
245346,280382,2606,2015-01-01 23:30:00-06,,2.004
245347,280383,2606,2015-01-01 23:45:00-06,,1.948
245348,280384,2606,2015-01-02 00:00:00-06,,1.958
245349,280385,2606,2015-01-02 00:15:00-06,,2.202
245350,280386,2606,2015-01-02 00:30:00-06,,2.212
245351,280387,2606,2015-01-02 00:45:00-06,,2.399
245352,280388,2606,2015-01-02 01:00:00-06,,1.911
245353,280389,2606,2015-01-02 01:15:00-06,,1.982
245354,280390,2606,2015-01-02 01:30:00-06,,1.904
245355,280391,2606,2015-01-02 01:45:00-06,,1.9
245356,280392,2606,2015-01-02 02:00:00-06,,1.895
245357,280393,2606,2015-01-02 02:15:00-06,,2.078
245358,280394,2606,2015-01-02 02:30:00-06,,1.949
245359,280395,2606,2015-01-02 02:45:00-06,,1.909
245360,280396,2606,2015-01-02 03:00:00-06,,1.94
245361,280397,2606,2015-01-02 03:15:00-06,,1.9
245362,280398,2606,2015-01-02 03:30:00-06,,1.898
245363,280399,2606,2015-01-02 03:45:00-06,,1.766
245364,280400,2606,2015-01-02 04:00:00-06,,1.691
245365,280401,2606,2015-01-02 04:15:00-06,,1.622
245366,280402,2606,2015-01-02 04:30:00-06,,0.94
245367,280403,2606,2015-01-02 04:45:00-06,,0.609
