,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
1105057,1105057,5679,2019-05-01 00:00:00-05,0.009,0.38,1,2019-05-01 00:00:00
1105058,1105058,5679,2019-05-01 00:15:00-05,0.009,0.315,2,2019-05-01 00:15:00
1105059,1105059,5679,2019-05-01 00:30:00-05,0.009,0.166,3,2019-05-01 00:30:00
1105060,1105060,5679,2019-05-01 00:45:00-05,0.009,0.155,4,2019-05-01 00:45:00
1105061,1105061,5679,2019-05-01 01:00:00-05,0.009,0.155,5,2019-05-01 01:00:00
1105062,1105062,5679,2019-05-01 01:15:00-05,0.009,0.157,6,2019-05-01 01:15:00
1105063,1105063,5679,2019-05-01 01:30:00-05,0.009,0.155,7,2019-05-01 01:30:00
1105064,1105064,5679,2019-05-01 01:45:00-05,0.009,0.206,8,2019-05-01 01:45:00
1105065,1105065,5679,2019-05-01 02:00:00-05,0.009,0.263,9,2019-05-01 02:00:00
1105066,1105066,5679,2019-05-01 02:15:00-05,0.009,0.253,10,2019-05-01 02:15:00
1105067,1105067,5679,2019-05-01 02:30:00-05,0.009,0.266,11,2019-05-01 02:30:00
1105068,1105068,5679,2019-05-01 02:45:00-05,0.009,0.277,12,2019-05-01 02:45:00
1105069,1105069,5679,2019-05-01 03:00:00-05,0.009,0.374,13,2019-05-01 03:00:00
1105070,1105070,5679,2019-05-01 03:15:00-05,0.009,0.41,14,2019-05-01 03:15:00
1105071,1105071,5679,2019-05-01 03:30:00-05,0.009,0.304,15,2019-05-01 03:30:00
1105072,1105072,5679,2019-05-01 03:45:00-05,0.009,0.472,16,2019-05-01 03:45:00
1105073,1105073,5679,2019-05-01 04:00:00-05,0.009,0.485,17,2019-05-01 04:00:00
1105074,1105074,5679,2019-05-01 04:15:00-05,0.009,0.378,18,2019-05-01 04:15:00
1105075,1105075,5679,2019-05-01 04:30:00-05,0.008,1.046,19,2019-05-01 04:30:00
1105076,1105076,5679,2019-05-01 04:45:00-05,0.008,0.912,20,2019-05-01 04:45:00
1105077,1105077,5679,2019-05-01 05:00:00-05,0.007,1.797,21,2019-05-01 05:00:00
1105078,1105078,5679,2019-05-01 05:15:00-05,0.006,2.53,22,2019-05-01 05:15:00
1105079,1105079,5679,2019-05-01 05:30:00-05,0.007,2.087,23,2019-05-01 05:30:00
1105080,1105080,5679,2019-05-01 05:45:00-05,0.028,1.573,24,2019-05-01 05:45:00
1105081,1105081,5679,2019-05-01 06:00:00-05,0.051,1.587,25,2019-05-01 06:00:00
1105082,1105082,5679,2019-05-01 06:15:00-05,0.08,1.17,26,2019-05-01 06:15:00
1105083,1105083,5679,2019-05-01 06:30:00-05,0.111,0.758,27,2019-05-01 06:30:00
1105084,1105084,5679,2019-05-01 06:45:00-05,0.122,1.311,28,2019-05-01 06:45:00
1105085,1105085,5679,2019-05-01 07:00:00-05,0.198,0.536,29,2019-05-01 07:00:00
1105086,1105086,5679,2019-05-01 07:15:00-05,0.258,0.893,30,2019-05-01 07:15:00
1105087,1105087,5679,2019-05-01 07:30:00-05,0.29,1.318,31,2019-05-01 07:30:00
1105088,1105088,5679,2019-05-01 07:45:00-05,0.362,1.405,32,2019-05-01 07:45:00
1105089,1105089,5679,2019-05-01 08:00:00-05,0.402,1.265,33,2019-05-01 08:00:00
1105090,1105090,5679,2019-05-01 08:15:00-05,0.411,1.105,34,2019-05-01 08:15:00
1105091,1105091,5679,2019-05-01 08:30:00-05,0.502,0.251,35,2019-05-01 08:30:00
1105092,1105092,5679,2019-05-01 08:45:00-05,0.578,0.766,36,2019-05-01 08:45:00
1105093,1105093,5679,2019-05-01 09:00:00-05,0.643,0.93,37,2019-05-01 09:00:00
1105094,1105094,5679,2019-05-01 09:15:00-05,0.593,0.673,38,2019-05-01 09:15:00
1105095,1105095,5679,2019-05-01 09:30:00-05,0.792,0.833,39,2019-05-01 09:30:00
