,Unnamed: 0,dataid,local_15min,solar_total,grid
839204,1014672,3456,2018-01-01 00:00:00-06,-0.008,0.552
839205,1014673,3456,2018-01-01 00:15:00-06,-0.008,0.467
839206,1014674,3456,2018-01-01 00:30:00-06,-0.008,0.533
839207,1014675,3456,2018-01-01 00:45:00-06,-0.008,0.54
839208,1014676,3456,2018-01-01 01:00:00-06,-0.008,0.476
839209,1014677,3456,2018-01-01 01:15:00-06,-0.008,0.508
839210,1014678,3456,2018-01-01 01:30:00-06,-0.008,0.523
839211,1014679,3456,2018-01-01 01:45:00-06,-0.008,0.454
839212,1014680,3456,2018-01-01 02:00:00-06,-0.008,0.545
839213,1014681,3456,2018-01-01 02:15:00-06,-0.008,0.565
839214,1014682,3456,2018-01-01 02:30:00-06,-0.008,0.496
839215,1014683,3456,2018-01-01 02:45:00-06,-0.008,0.442
839216,1014684,3456,2018-01-01 03:00:00-06,-0.008,0.529
839217,1014685,3456,2018-01-01 03:15:00-06,-0.008,0.509
839218,1014686,3456,2018-01-01 03:30:00-06,-0.008,0.473
839219,1014687,3456,2018-01-01 03:45:00-06,-0.008,0.629
839220,1014688,3456,2018-01-01 04:00:00-06,-0.008,0.505
839221,1014689,3456,2018-01-01 04:15:00-06,-0.008,0.423
839222,1014690,3456,2018-01-01 04:30:00-06,-0.008,0.574
839223,1014691,3456,2018-01-01 04:45:00-06,-0.008,0.542
839224,1014692,3456,2018-01-01 05:00:00-06,-0.008,0.479
839225,1014693,3456,2018-01-01 05:15:00-06,-0.008,0.574
839226,1014694,3456,2018-01-01 05:30:00-06,-0.007,0.546
839227,1014695,3456,2018-01-01 05:45:00-06,-0.008,0.423
839228,1014696,3456,2018-01-01 06:00:00-06,-0.008,0.62
839229,1014697,3456,2018-01-01 06:15:00-06,-0.008,0.524
839230,1014698,3456,2018-01-01 06:30:00-06,-0.007,0.498
839231,1014699,3456,2018-01-01 06:45:00-06,-0.008,0.545
839232,1014700,3456,2018-01-01 07:00:00-06,-0.008,0.49
839233,1014701,3456,2018-01-01 07:15:00-06,-0.008,0.708
839234,1014702,3456,2018-01-01 07:30:00-06,-0.009,1.327
839235,1014703,3456,2018-01-01 07:45:00-06,-0.008,0.625
839236,1014704,3456,2018-01-01 08:00:00-06,0.063,0.493
839237,1014705,3456,2018-01-01 08:15:00-06,0.125,0.443
