,Unnamed: 0,dataid,local_15min,solar_total,grid
630056,805524,661,2018-11-21 15:15:00-06,0.276,0.124
630057,805525,661,2018-11-21 15:30:00-06,0.167,0.251
630058,805526,661,2018-11-21 15:45:00-06,0.179,0.419
630059,805527,661,2018-11-21 16:00:00-06,0.076,0.833
630060,805528,661,2018-11-21 16:15:00-06,0.064,1.105
630061,805529,661,2018-11-21 16:30:00-06,0.048,0.869
630062,805530,661,2018-11-21 16:45:00-06,-0.023,1.324
630063,805531,661,2018-11-21 17:00:00-06,-0.039,0.993
630064,805532,661,2018-11-21 17:15:00-06,-0.022,0.906
630065,805533,661,2018-11-21 17:30:00-06,-0.023,1.203
630066,805534,661,2018-11-21 17:45:00-06,-0.023,1.28
630067,805535,661,2018-11-21 18:00:00-06,-0.012,1.108
630068,805536,661,2018-11-21 18:15:00-06,-0.012,1.203
630069,805537,661,2018-11-21 18:30:00-06,-0.012,1.396
630070,805538,661,2018-11-21 18:45:00-06,-0.012,1.312
630071,805539,661,2018-11-21 19:00:00-06,-0.011,1.103
630072,805540,661,2018-11-21 19:15:00-06,-0.013,1.278
630073,805541,661,2018-11-21 19:30:00-06,-0.011,1.076
630074,805542,661,2018-11-21 19:45:00-06,-0.011,1.175
630075,805543,661,2018-11-21 20:00:00-06,-0.012,1.363
630076,805544,661,2018-11-21 20:15:00-06,-0.012,1.65
630077,805545,661,2018-11-22 16:45:00-06,0.003,0.655
630078,805546,661,2018-11-22 17:00:00-06,-0.019,0.47
630079,805547,661,2018-11-22 17:15:00-06,-0.033,0.484
630080,805548,661,2018-11-22 17:30:00-06,-0.021,0.643
630081,805549,661,2018-11-22 17:45:00-06,-0.021,0.656
630082,805550,661,2018-11-22 18:00:00-06,-0.012,0.494
630083,805551,661,2018-11-22 18:15:00-06,-0.009,0.513
630084,805552,661,2018-11-22 18:30:00-06,-0.01,0.655
630085,805553,661,2018-11-22 18:45:00-06,-0.009,0.625
630086,805554,661,2018-11-22 19:00:00-06,-0.009,0.482
630087,805555,661,2018-11-22 19:15:00-06,-0.011,0.625
630088,805556,661,2018-11-22 19:30:00-06,-0.01,0.701
630089,805557,661,2018-11-22 19:45:00-06,-0.009,0.576
630090,805558,661,2018-11-22 20:00:00-06,-0.009,0.466
630091,805559,661,2018-11-22 20:15:00-06,-0.01,0.586
630092,805560,661,2018-11-22 20:30:00-06,-0.011,0.536
630093,805561,661,2018-11-22 20:45:00-06,-0.009,0.572
630094,805562,661,2018-11-22 21:00:00-06,-0.009,0.492
630095,805563,661,2018-11-22 21:15:00-06,-0.01,0.602
630096,805564,661,2018-11-22 21:30:00-06,-0.009,0.499
630097,805565,661,2018-11-22 21:45:00-06,-0.01,0.574
630098,805566,661,2018-11-22 22:00:00-06,-0.009,0.526
630099,805567,661,2018-11-22 22:15:00-06,-0.01,0.6
630100,805568,661,2018-11-22 22:30:00-06,-0.01,0.615
630101,805569,661,2018-11-22 22:45:00-06,-0.01,0.692
630102,805570,661,2018-11-22 23:00:00-06,-0.01,0.554
630103,805571,661,2018-11-22 23:15:00-06,-0.009,0.552
630104,805572,661,2018-11-22 23:30:00-06,-0.009,0.572
630105,805573,661,2018-11-22 23:45:00-06,-0.01,0.804
630106,805574,661,2018-11-23 00:00:00-06,-0.011,0.828
630107,805575,661,2018-11-23 00:15:00-06,-0.012,0.866
630108,805576,661,2018-11-23 00:30:00-06,-0.01,0.675
630109,805577,661,2018-11-23 00:45:00-06,-0.009,0.565
630110,805578,661,2018-11-23 01:00:00-06,-0.009,0.454
630111,805579,661,2018-11-23 01:15:00-06,-0.009,0.438
630112,805580,661,2018-11-23 01:30:00-06,-0.01,0.462
630113,805581,661,2018-11-23 01:45:00-06,-0.01,0.75
630114,805582,661,2018-11-23 02:00:00-06,-0.009,0.438
630115,805583,661,2018-11-23 02:15:00-06,-0.009,0.512
630116,805584,661,2018-11-23 02:30:00-06,-0.009,0.572
630117,805585,661,2018-11-23 02:45:00-06,-0.01,0.553
630118,805586,661,2018-11-23 03:00:00-06,-0.009,0.66
