,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
1192589,1192589,5982,2019-05-01 00:00:00-05,,3.149,1,2019-05-01 00:00:00
1192590,1192590,5982,2019-05-01 00:15:00-05,,2.316,2,2019-05-01 00:15:00
1192591,1192591,5982,2019-05-01 00:30:00-05,,3.095,3,2019-05-01 00:30:00
1192592,1192592,5982,2019-05-01 00:45:00-05,,3.019,4,2019-05-01 00:45:00
1192593,1192593,5982,2019-05-01 01:00:00-05,,2.424,5,2019-05-01 01:00:00
1192594,1192594,5982,2019-05-01 01:15:00-05,,2.537,6,2019-05-01 01:15:00
1192595,1192595,5982,2019-05-01 01:30:00-05,,2.991,7,2019-05-01 01:30:00
1192596,1192596,5982,2019-05-01 01:45:00-05,,2.914,8,2019-05-01 01:45:00
1192597,1192597,5982,2019-05-01 02:00:00-05,,2.827,9,2019-05-01 02:00:00
1192598,1192598,5982,2019-05-01 02:15:00-05,,2.51,10,2019-05-01 02:15:00
1192599,1192599,5982,2019-05-01 02:30:00-05,,2.509,11,2019-05-01 02:30:00
1192600,1192600,5982,2019-05-01 02:45:00-05,,2.362,12,2019-05-01 02:45:00
1192601,1192601,5982,2019-05-01 03:00:00-05,,2.343,13,2019-05-01 03:00:00
1192602,1192602,5982,2019-05-01 03:15:00-05,,2.43,14,2019-05-01 03:15:00
1192603,1192603,5982,2019-05-01 03:30:00-05,,2.778,15,2019-05-01 03:30:00
1192604,1192604,5982,2019-05-01 03:45:00-05,,2.275,16,2019-05-01 03:45:00
1192605,1192605,5982,2019-05-01 04:00:00-05,,2.567,17,2019-05-01 04:00:00
1192606,1192606,5982,2019-05-01 04:15:00-05,,2.378,18,2019-05-01 04:15:00
1192607,1192607,5982,2019-05-01 04:30:00-05,,2.549,19,2019-05-01 04:30:00
1192608,1192608,5982,2019-05-01 04:45:00-05,,2.351,20,2019-05-01 04:45:00
1192609,1192609,5982,2019-05-01 05:00:00-05,,2.276,21,2019-05-01 05:00:00
1192610,1192610,5982,2019-05-01 05:15:00-05,,2.288,22,2019-05-01 05:15:00
1192611,1192611,5982,2019-05-01 05:30:00-05,,2.319,23,2019-05-01 05:30:00
1192612,1192612,5982,2019-05-01 05:45:00-05,,2.382,24,2019-05-01 05:45:00
1192613,1192613,5982,2019-05-01 06:00:00-05,,2.811,25,2019-05-01 06:00:00
1192614,1192614,5982,2019-05-01 06:15:00-05,,2.968,26,2019-05-01 06:15:00
1192615,1192615,5982,2019-05-01 06:30:00-05,,3.063,27,2019-05-01 06:30:00
1192616,1192616,5982,2019-05-01 06:45:00-05,,3.054,28,2019-05-01 06:45:00
1192617,1192617,5982,2019-05-01 07:00:00-05,,2.176,29,2019-05-01 07:00:00
1192618,1192618,5982,2019-05-01 07:15:00-05,,2.301,30,2019-05-01 07:15:00
1192619,1192619,5982,2019-05-01 07:30:00-05,,1.96,31,2019-05-01 07:30:00
1192620,1192620,5982,2019-05-01 07:45:00-05,,2.121,32,2019-05-01 07:45:00
1192621,1192621,5982,2019-05-01 08:00:00-05,,1.884,33,2019-05-01 08:00:00
1192622,1192622,5982,2019-05-01 08:15:00-05,,1.746,34,2019-05-01 08:15:00
1192623,1192623,5982,2019-05-01 08:30:00-05,,1.697,35,2019-05-01 08:30:00
1192624,1192624,5982,2019-05-01 08:45:00-05,,1.825,36,2019-05-01 08:45:00
1192625,1192625,5982,2019-05-01 09:00:00-05,,1.928,37,2019-05-01 09:00:00
1192626,1192626,5982,2019-05-01 09:15:00-05,,1.843,38,2019-05-01 09:15:00
1192627,1192627,5982,2019-05-01 09:30:00-05,,1.971,39,2019-05-01 09:30:00
1192628,1192628,5982,2019-05-01 09:45:00-05,,1.87,40,2019-05-01 09:45:00
