,Unnamed: 0,dataid,local_15min,solar_total,grid
175180,210216,1450,2015-01-01 00:00:00-06,,1.497
175181,210217,1450,2015-01-01 00:15:00-06,,1.179
175182,210218,1450,2015-01-01 00:30:00-06,,1.622
175183,210219,1450,2015-01-01 00:45:00-06,,1.567
175184,210220,1450,2015-01-01 01:00:00-06,,1.108
175185,210221,1450,2015-01-01 01:15:00-06,,1.36
175186,210222,1450,2015-01-01 01:30:00-06,,1.552
175187,210223,1450,2015-01-01 01:45:00-06,,1.527
175188,210224,1450,2015-01-01 02:00:00-06,,1.482
175189,210225,1450,2015-01-01 02:15:00-06,,1.774
175190,210226,1450,2015-01-01 02:30:00-06,,1.624
175191,210227,1450,2015-01-01 02:45:00-06,,0.568
175192,210228,1450,2015-01-01 03:00:00-06,,0.463
175193,210229,1450,2015-01-01 03:15:00-06,,0.809
175194,210230,1450,2015-01-01 03:30:00-06,,0.464
175195,210231,1450,2015-01-01 03:45:00-06,,0.687
175196,210232,1450,2015-01-01 04:00:00-06,,0.976
175197,210233,1450,2015-01-01 04:15:00-06,,0.388
175198,210234,1450,2015-01-01 04:30:00-06,,0.534
175199,210235,1450,2015-01-01 04:45:00-06,,0.799
175200,210236,1450,2015-01-01 05:00:00-06,,0.525
175201,210237,1450,2015-01-01 05:15:00-06,,0.484
175202,210238,1450,2015-01-01 05:30:00-06,,0.475
175203,210239,1450,2015-01-01 05:45:00-06,,0.489
175204,210240,1450,2015-01-01 06:00:00-06,,0.453
175205,210241,1450,2015-01-01 06:15:00-06,,0.379
175206,210242,1450,2015-01-01 06:30:00-06,,0.452
175207,210243,1450,2015-01-01 06:45:00-06,,0.476
175208,210244,1450,2015-01-01 07:00:00-06,,0.447
175209,210245,1450,2015-01-01 07:15:00-06,,0.47
175210,210246,1450,2015-01-01 07:30:00-06,,0.373
175211,210247,1450,2015-01-01 07:45:00-06,,0.386
175212,210248,1450,2015-01-01 08:00:00-06,,0.457
175213,210249,1450,2015-01-01 08:15:00-06,,0.415
175214,210250,1450,2015-01-01 08:30:00-06,,0.674
