,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
1087393,1087393,5587,2019-05-01 00:00:00-05,-0.003,0.262,1,2019-05-01 00:00:00
1087394,1087394,5587,2019-05-01 00:15:00-05,-0.003,0.609,2,2019-05-01 00:15:00
1087395,1087395,5587,2019-05-01 00:30:00-05,-0.003,0.225,3,2019-05-01 00:30:00
1087396,1087396,5587,2019-05-01 00:45:00-05,-0.003,0.489,4,2019-05-01 00:45:00
1087397,1087397,5587,2019-05-01 01:00:00-05,-0.003,0.236,5,2019-05-01 01:00:00
1087398,1087398,5587,2019-05-01 01:15:00-05,-0.003,0.587,6,2019-05-01 01:15:00
1087399,1087399,5587,2019-05-01 01:30:00-05,-0.003,0.256,7,2019-05-01 01:30:00
1087400,1087400,5587,2019-05-01 01:45:00-05,-0.003,0.456,8,2019-05-01 01:45:00
1087401,1087401,5587,2019-05-01 02:00:00-05,-0.003,0.242,9,2019-05-01 02:00:00
1087402,1087402,5587,2019-05-01 02:15:00-05,-0.003,1.747,10,2019-05-01 02:15:00
1087403,1087403,5587,2019-05-01 02:30:00-05,-0.003,2.017,11,2019-05-01 02:30:00
1087404,1087404,5587,2019-05-01 02:45:00-05,-0.003,1.953,12,2019-05-01 02:45:00
1087405,1087405,5587,2019-05-01 03:00:00-05,-0.003,1.951,13,2019-05-01 03:00:00
1087406,1087406,5587,2019-05-01 03:15:00-05,-0.003,0.502,14,2019-05-01 03:15:00
1087407,1087407,5587,2019-05-01 03:30:00-05,-0.002,0.371,15,2019-05-01 03:30:00
1087408,1087408,5587,2019-05-01 03:45:00-05,-0.003,0.692,16,2019-05-01 03:45:00
1087409,1087409,5587,2019-05-01 04:00:00-05,-0.004,1.77,17,2019-05-01 04:00:00
1087410,1087410,5587,2019-05-01 04:15:00-05,-0.003,1.182,18,2019-05-01 04:15:00
1087411,1087411,5587,2019-05-01 04:30:00-05,-0.003,1.432,19,2019-05-01 04:30:00
1087412,1087412,5587,2019-05-01 04:45:00-05,-0.003,2.183,20,2019-05-01 04:45:00
1087413,1087413,5587,2019-05-01 05:00:00-05,-0.002,1.855,21,2019-05-01 05:00:00
1087414,1087414,5587,2019-05-01 05:15:00-05,-0.002,2.954,22,2019-05-01 05:15:00
1087415,1087415,5587,2019-05-01 05:30:00-05,-0.001,1.216,23,2019-05-01 05:30:00
1087416,1087416,5587,2019-05-01 05:45:00-05,-0.003,2.538,24,2019-05-01 05:45:00
1087417,1087417,5587,2019-05-01 06:00:00-05,0.004,2.594,25,2019-05-01 06:00:00
1087418,1087418,5587,2019-05-01 06:15:00-05,0.022,2.238,26,2019-05-01 06:15:00
1087419,1087419,5587,2019-05-01 06:30:00-05,0.051,2.532,27,2019-05-01 06:30:00
