,Unnamed: 0,dataid,local_15min,solar_total,grid
1398267,1573735,9160,2018-01-01 02:00:00-06,-0.004,0.601
1398268,1573736,9160,2018-01-01 02:15:00-06,-0.005,0.457
1398269,1573737,9160,2018-01-01 02:30:00-06,-0.004,0.532
1398270,1573738,9160,2018-01-01 02:45:00-06,-0.004,0.728
1398271,1573739,9160,2018-01-01 03:00:00-06,-0.003,0.805
1398272,1573740,9160,2018-01-01 03:15:00-06,-0.003,0.754
1398273,1573741,9160,2018-01-01 03:30:00-06,-0.004,0.527
1398274,1573742,9160,2018-01-01 03:45:00-06,-0.005,0.459
1398275,1573743,9160,2018-01-01 04:00:00-06,-0.005,0.454
1398276,1573744,9160,2018-01-01 04:15:00-06,-0.005,0.443
1398277,1573745,9160,2018-01-01 04:30:00-06,-0.004,0.566
1398278,1573746,9160,2018-01-01 04:45:00-06,-0.005,0.39
1398279,1573747,9160,2018-01-01 05:00:00-06,-0.005,0.413
1398280,1573748,9160,2018-01-01 05:15:00-06,-0.005,0.421
1398281,1573749,9160,2018-01-01 05:30:00-06,-0.004,0.541
1398282,1573750,9160,2018-01-01 05:45:00-06,-0.004,0.64
1398283,1573751,9160,2018-01-01 06:00:00-06,-0.005,0.392
1398284,1573752,9160,2018-01-01 06:15:00-06,-0.004,0.625
1398285,1573753,9160,2018-01-01 06:30:00-06,-0.003,0.783
1398286,1573754,9160,2018-01-01 06:45:00-06,-0.004,0.7
1398287,1573755,9160,2018-01-01 07:00:00-06,-0.003,0.973
1398288,1573756,9160,2018-01-01 07:15:00-06,-0.002,1.103
1398289,1573757,9160,2018-01-01 07:30:00-06,-0.008,1.066
1398290,1573758,9160,2018-01-01 07:45:00-06,-0.005,1.058
1398291,1573759,9160,2018-01-01 08:00:00-06,0.059,1.257
1398292,1573760,9160,2018-01-01 08:15:00-06,0.102,1.434
1398293,1573761,9160,2018-01-01 08:30:00-06,0.289,1.243
1398294,1573762,9160,2018-01-01 08:45:00-06,0.411,0.494
1398295,1573763,9160,2018-01-01 09:00:00-06,0.805,0.007
1398296,1573764,9160,2018-01-01 09:15:00-06,0.672,-0.07
1398297,1573765,9160,2018-01-01 09:30:00-06,0.902,-0.339
1398298,1573766,9160,2018-01-01 09:45:00-06,0.922,-0.553
1398299,1573767,9160,2018-01-01 10:00:00-06,0.809,-0.432
1398300,1573768,9160,2018-01-01 10:15:00-06,0.917,-0.413
1398301,1573769,9160,2018-01-01 10:30:00-06,1.017,-0.421
1398302,1573770,9160,2018-01-01 10:45:00-06,1.228,-0.714
1398303,1573771,9160,2018-01-01 11:00:00-06,1.336,-0.69
1398304,1573772,9160,2018-01-01 11:15:00-06,1.206,-0.421
1398305,1573773,9160,2018-01-01 11:30:00-06,1.309,-0.478
1398306,1573774,9160,2018-01-01 11:45:00-06,1.236,-0.299
1398307,1573775,9160,2018-01-01 12:00:00-06,1.256,-0.301
1398308,1573776,9160,2018-01-01 12:15:00-06,1.271,-0.522
1398309,1573777,9160,2018-01-01 12:30:00-06,1.202,-0.544
1398310,1573778,9160,2018-01-01 12:45:00-06,0.983,-0.519
1398311,1573779,9160,2018-01-01 13:00:00-06,0.794,-0.346
1398312,1573780,9160,2018-01-01 13:15:00-06,0.848,-0.46
1398313,1573781,9160,2018-01-01 13:30:00-06,0.832,-0.503
1398314,1573782,9160,2018-01-01 13:45:00-06,0.778,-0.355
1398315,1573783,9160,2018-01-01 14:00:00-06,0.81,-0.224
1398316,1573784,9160,2018-01-01 14:15:00-06,0.705,-0.053
1398317,1573785,9160,2018-01-01 14:30:00-06,0.629,-0.116
1398318,1573786,9160,2018-01-01 14:45:00-06,0.771,-0.279
1398319,1573787,9160,2018-01-01 15:00:00-06,0.552,0.856
1398320,1573788,9160,2018-01-01 15:15:00-06,0.326,0.675
1398321,1573789,9160,2018-01-01 15:30:00-06,0.39,0.696
1398322,1573790,9160,2018-01-01 15:45:00-06,0.328,0.77
1398323,1573791,9160,2018-01-01 16:00:00-06,0.342,1.129
1398324,1573792,9160,2018-01-01 16:15:00-06,0.31,0.973
1398325,1573793,9160,2018-01-01 16:30:00-06,0.414,0.913
1398326,1573794,9160,2018-01-01 16:45:00-06,0.084,1.149
1398327,1573795,9160,2018-01-01 17:00:00-06,0.013,1.281
1398328,1573796,9160,2018-01-01 17:15:00-06,-0.019,0.836
1398329,1573797,9160,2018-01-01 17:30:00-06,-0.026,0.55
1398330,1573798,9160,2018-01-01 17:45:00-06,-0.025,0.628
1398331,1573799,9160,2018-01-02 00:00:00-06,-0.005,0.355
1398332,1573800,9160,2018-01-02 00:15:00-06,-0.005,0.341
1398333,1573801,9160,2018-01-02 00:30:00-06,-0.004,0.564
