,Unnamed: 0,dataid,local_15min,solar_total,grid
385315,455387,8342,2018-01-01 00:00:00-06,,0.11
385316,455388,8342,2018-01-01 00:15:00-06,,0.11
385317,455389,8342,2018-01-01 00:30:00-06,,0.185
385318,455390,8342,2018-01-01 00:45:00-06,,0.176
385319,455391,8342,2018-01-01 01:00:00-06,,0.158
385320,455392,8342,2018-01-01 01:15:00-06,,0.084
385321,455393,8342,2018-01-01 01:30:00-06,,0.155
385322,455394,8342,2018-01-01 01:45:00-06,,0.18
385323,455395,8342,2018-01-01 02:00:00-06,,0.169
385324,455396,8342,2018-01-01 02:15:00-06,,0.084
385325,455397,8342,2018-01-01 02:30:00-06,,0.138
385326,455398,8342,2018-01-01 02:45:00-06,,0.176
385327,455399,8342,2018-01-01 03:00:00-06,,0.166
385328,455400,8342,2018-01-01 03:15:00-06,,0.093
385329,455401,8342,2018-01-01 03:30:00-06,,0.165
385330,455402,8342,2018-01-01 03:45:00-06,,0.176
385331,455403,8342,2018-01-01 04:00:00-06,,0.155
385332,455404,8342,2018-01-01 04:15:00-06,,0.084
385333,455405,8342,2018-01-01 04:30:00-06,,0.145
385334,455406,8342,2018-01-01 04:45:00-06,,0.174
385335,455407,8342,2018-01-01 05:00:00-06,,0.139
385336,455408,8342,2018-01-01 05:15:00-06,,0.084
385337,455409,8342,2018-01-01 05:30:00-06,,0.158
385338,455410,8342,2018-01-01 05:45:00-06,,0.173
385339,455411,8342,2018-01-01 06:00:00-06,,0.115
385340,455412,8342,2018-01-01 06:15:00-06,,0.083
385341,455413,8342,2018-01-01 06:30:00-06,,0.179
385342,455414,8342,2018-01-01 06:45:00-06,,0.171
385343,455415,8342,2018-01-01 07:00:00-06,,0.09
385344,455416,8342,2018-01-01 07:15:00-06,,0.107
385345,455417,8342,2018-01-01 07:30:00-06,,0.178
385346,455418,8342,2018-01-01 07:45:00-06,,0.149
385347,455419,8342,2018-01-01 08:00:00-06,,0.083
385348,455420,8342,2018-01-01 08:15:00-06,,0.141
385349,455421,8342,2018-01-01 08:30:00-06,,0.173
385350,455422,8342,2018-01-01 08:45:00-06,,0.194
385351,455423,8342,2018-01-01 09:00:00-06,,0.088
385352,455424,8342,2018-01-01 09:15:00-06,,0.184
385353,455425,8342,2018-01-01 09:30:00-06,,0.173
