,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
561213,561213,3000,2019-05-01 00:00:00-05,-0.001,0.443,1,2019-05-01 00:00:00
561214,561214,3000,2019-05-01 00:15:00-05,-0.001,0.301,2,2019-05-01 00:15:00
561215,561215,3000,2019-05-01 00:30:00-05,-0.001,0.383,3,2019-05-01 00:30:00
561216,561216,3000,2019-05-01 00:45:00-05,-0.001,0.403,4,2019-05-01 00:45:00
561217,561217,3000,2019-05-01 01:00:00-05,-0.001,0.287,5,2019-05-01 01:00:00
561218,561218,3000,2019-05-01 01:15:00-05,-0.001,0.38,6,2019-05-01 01:15:00
561219,561219,3000,2019-05-01 01:30:00-05,-0.001,0.383,7,2019-05-01 01:30:00
561220,561220,3000,2019-05-01 01:45:00-05,-0.001,0.336,8,2019-05-01 01:45:00
561221,561221,3000,2019-05-01 02:00:00-05,-0.001,0.323,9,2019-05-01 02:00:00
561222,561222,3000,2019-05-01 02:15:00-05,-0.001,0.384,10,2019-05-01 02:15:00
561223,561223,3000,2019-05-01 02:30:00-05,-0.001,0.372,11,2019-05-01 02:30:00
561224,561224,3000,2019-05-01 02:45:00-05,-0.001,0.287,12,2019-05-01 02:45:00
561225,561225,3000,2019-05-01 03:00:00-05,-0.001,0.431,13,2019-05-01 03:00:00
561226,561226,3000,2019-05-01 03:15:00-05,-0.001,0.326,14,2019-05-01 03:15:00
561227,561227,3000,2019-05-01 03:30:00-05,-0.001,0.435,15,2019-05-01 03:30:00
561228,561228,3000,2019-05-01 03:45:00-05,-0.001,1.166,16,2019-05-01 03:45:00
561229,561229,3000,2019-05-01 04:00:00-05,-0.001,0.692,17,2019-05-01 04:00:00
561230,561230,3000,2019-05-01 04:15:00-05,-0.001,0.658,18,2019-05-01 04:15:00
561231,561231,3000,2019-05-01 04:30:00-05,-0.001,0.667,19,2019-05-01 04:30:00
561232,561232,3000,2019-05-01 04:45:00-05,-0.001,0.611,20,2019-05-01 04:45:00
561233,561233,3000,2019-05-01 05:00:00-05,-0.001,0.592,21,2019-05-01 05:00:00
561234,561234,3000,2019-05-01 05:15:00-05,0.003,0.394,22,2019-05-01 05:15:00
561235,561235,3000,2019-05-01 05:30:00-05,0.009000000000000001,0.456,23,2019-05-01 05:30:00
561236,561236,3000,2019-05-01 05:45:00-05,0.013000000000000001,0.32,24,2019-05-01 05:45:00
561237,561237,3000,2019-05-01 06:00:00-05,0.019999999999999997,0.309,25,2019-05-01 06:00:00
561238,561238,3000,2019-05-01 06:15:00-05,0.043000000000000003,3.585,26,2019-05-01 06:15:00
561239,561239,3000,2019-05-01 06:30:00-05,0.07200000000000001,4.248,27,2019-05-01 06:30:00
561240,561240,3000,2019-05-01 06:45:00-05,0.086,4.214,28,2019-05-01 06:45:00
561241,561241,3000,2019-05-01 07:00:00-05,0.14700000000000002,4.093,29,2019-05-01 07:00:00
561242,561242,3000,2019-05-01 07:15:00-05,0.22799999999999998,4.069,30,2019-05-01 07:15:00
561243,561243,3000,2019-05-01 07:30:00-05,0.265,0.321,31,2019-05-01 07:30:00
561244,561244,3000,2019-05-01 07:45:00-05,0.30700000000000005,0.191,32,2019-05-01 07:45:00
561245,561245,3000,2019-05-01 08:00:00-05,0.32099999999999995,0.102,33,2019-05-01 08:00:00
561246,561246,3000,2019-05-01 08:15:00-05,0.401,0.029,34,2019-05-01 08:15:00
561247,561247,3000,2019-05-01 08:30:00-05,0.46399999999999997,-0.057,35,2019-05-01 08:30:00
561248,561248,3000,2019-05-01 08:45:00-05,0.538,-0.172,36,2019-05-01 08:45:00
561249,561249,3000,2019-05-01 09:00:00-05,0.5860000000000001,-0.243,37,2019-05-01 09:00:00
561250,561250,3000,2019-05-01 09:15:00-05,0.647,-0.319,38,2019-05-01 09:15:00
