,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
140723,140723,914,2019-05-01 00:00:00-05,-0.002,0.577,1,2019-05-01 00:00:00
140724,140724,914,2019-05-01 00:15:00-05,-0.002,0.58,2,2019-05-01 00:15:00
140725,140725,914,2019-05-01 00:30:00-05,-0.002,0.642,3,2019-05-01 00:30:00
140726,140726,914,2019-05-01 00:45:00-05,-0.002,0.687,4,2019-05-01 00:45:00
140727,140727,914,2019-05-01 01:00:00-05,-0.002,0.57,5,2019-05-01 01:00:00
140728,140728,914,2019-05-01 01:15:00-05,-0.002,0.594,6,2019-05-01 01:15:00
140729,140729,914,2019-05-01 01:30:00-05,-0.001,0.677,7,2019-05-01 01:30:00
140730,140730,914,2019-05-01 01:45:00-05,-0.002,0.617,8,2019-05-01 01:45:00
140731,140731,914,2019-05-01 02:00:00-05,-0.001,0.696,9,2019-05-01 02:00:00
140732,140732,914,2019-05-01 02:15:00-05,-0.001,0.685,10,2019-05-01 02:15:00
140733,140733,914,2019-05-01 02:30:00-05,-0.001,0.772,11,2019-05-01 02:30:00
140734,140734,914,2019-05-01 02:45:00-05,-0.001,0.929,12,2019-05-01 02:45:00
140735,140735,914,2019-05-01 03:00:00-05,-0.001,0.849,13,2019-05-01 03:00:00
140736,140736,914,2019-05-01 03:15:00-05,-0.001,0.778,14,2019-05-01 03:15:00
140737,140737,914,2019-05-01 03:30:00-05,-0.001,0.574,15,2019-05-01 03:30:00
140738,140738,914,2019-05-01 03:45:00-05,-0.001,0.639,16,2019-05-01 03:45:00
140739,140739,914,2019-05-01 04:00:00-05,-0.001,0.57,17,2019-05-01 04:00:00
140740,140740,914,2019-05-01 04:15:00-05,-0.001,0.666,18,2019-05-01 04:15:00
140741,140741,914,2019-05-01 04:30:00-05,-0.001,0.797,19,2019-05-01 04:30:00
140742,140742,914,2019-05-01 04:45:00-05,0.001,0.96,20,2019-05-01 04:45:00
140743,140743,914,2019-05-01 05:00:00-05,0.0,0.798,21,2019-05-01 05:00:00
140744,140744,914,2019-05-01 05:15:00-05,-0.002,0.833,22,2019-05-01 05:15:00
