,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
158387,158387,950,2019-05-01 00:00:00-05,-0.012,1.031,1,2019-05-01 00:00:00
158388,158388,950,2019-05-01 00:15:00-05,-0.013,3.765,2,2019-05-01 00:15:00
158389,158389,950,2019-05-01 00:30:00-05,-0.012,0.602,3,2019-05-01 00:30:00
158390,158390,950,2019-05-01 00:45:00-05,-0.012,2.258,4,2019-05-01 00:45:00
158391,158391,950,2019-05-01 01:00:00-05,-0.013,6.474,5,2019-05-01 01:00:00
158392,158392,950,2019-05-01 01:15:00-05,-0.012,3.669,6,2019-05-01 01:15:00
158393,158393,950,2019-05-01 01:30:00-05,-0.012,3.812,7,2019-05-01 01:30:00
158394,158394,950,2019-05-01 01:45:00-05,-0.012,1.418,8,2019-05-01 01:45:00
158395,158395,950,2019-05-01 02:00:00-05,-0.013,3.273,9,2019-05-01 02:00:00
158396,158396,950,2019-05-01 02:15:00-05,-0.012,0.547,10,2019-05-01 02:15:00
158397,158397,950,2019-05-01 02:30:00-05,-0.012,2.735,11,2019-05-01 02:30:00
158398,158398,950,2019-05-01 02:45:00-05,-0.013,5.969,12,2019-05-01 02:45:00
158399,158399,950,2019-05-01 03:00:00-05,-0.012,3.603,13,2019-05-01 03:00:00
158400,158400,950,2019-05-01 03:15:00-05,-0.012,3.765,14,2019-05-01 03:15:00
158401,158401,950,2019-05-01 03:30:00-05,-0.012,0.68,15,2019-05-01 03:30:00
158402,158402,950,2019-05-01 03:45:00-05,-0.013,3.592,16,2019-05-01 03:45:00
158403,158403,950,2019-05-01 04:00:00-05,-0.012,1.542,17,2019-05-01 04:00:00
158404,158404,950,2019-05-01 04:15:00-05,-0.012,3.523,18,2019-05-01 04:15:00
158405,158405,950,2019-05-01 04:30:00-05,-0.013,6.419,19,2019-05-01 04:30:00
158406,158406,950,2019-05-01 04:45:00-05,-0.012,3.616,20,2019-05-01 04:45:00
158407,158407,950,2019-05-01 05:00:00-05,-0.012,2.958,21,2019-05-01 05:00:00
158408,158408,950,2019-05-01 05:15:00-05,-0.012,1.63,22,2019-05-01 05:15:00
158409,158409,950,2019-05-01 05:30:00-05,-0.014,3.888,23,2019-05-01 05:30:00
158410,158410,950,2019-05-01 05:45:00-05,-0.021,2.367,24,2019-05-01 05:45:00
158411,158411,950,2019-05-01 06:00:00-05,0.087,3.756,25,2019-05-01 06:00:00
158412,158412,950,2019-05-01 06:15:00-05,0.155,5.277,26,2019-05-01 06:15:00
158413,158413,950,2019-05-01 06:30:00-05,0.233,6.446,27,2019-05-01 06:30:00
158414,158414,950,2019-05-01 06:45:00-05,0.328,2.017,28,2019-05-01 06:45:00
158415,158415,950,2019-05-01 07:00:00-05,0.651,2.645,29,2019-05-01 07:00:00
158416,158416,950,2019-05-01 07:15:00-05,0.927,2.33,30,2019-05-01 07:15:00
158417,158417,950,2019-05-01 07:30:00-05,1.109,4.859,31,2019-05-01 07:30:00
158418,158418,950,2019-05-01 07:45:00-05,1.26,4.054,32,2019-05-01 07:45:00
158419,158419,950,2019-05-01 08:00:00-05,1.374,2.221,33,2019-05-01 08:00:00
158420,158420,950,2019-05-01 08:15:00-05,1.465,0.97,34,2019-05-01 08:15:00
158421,158421,950,2019-05-01 08:30:00-05,1.879,1.587,35,2019-05-01 08:30:00
158422,158422,950,2019-05-01 08:45:00-05,2.629,-1.971,36,2019-05-01 08:45:00
158423,158423,950,2019-05-01 09:00:00-05,3.407,1.692,37,2019-05-01 09:00:00
158424,158424,950,2019-05-01 09:15:00-05,2.461,6.397,38,2019-05-01 09:15:00
158425,158425,950,2019-05-01 09:30:00-05,3.332,2.716,39,2019-05-01 09:30:00
158426,158426,950,2019-05-01 09:45:00-05,4.121,-1.023,40,2019-05-01 09:45:00
158427,158427,950,2019-05-01 10:00:00-05,4.069,0.393,41,2019-05-01 10:00:00
158428,158428,950,2019-05-01 10:15:00-05,5.312,-4.356,42,2019-05-01 10:15:00
158429,158429,950,2019-05-01 10:30:00-05,6.159,-5.499,43,2019-05-01 10:30:00
158430,158430,950,2019-05-01 10:45:00-05,5.508,-0.739,44,2019-05-01 10:45:00
158431,158431,950,2019-05-01 11:00:00-05,7.328,-6.516,45,2019-05-01 11:00:00
158432,158432,950,2019-05-01 11:15:00-05,8.13,-7.622,46,2019-05-01 11:15:00
158433,158433,950,2019-05-01 11:30:00-05,10.237,-7.008,47,2019-05-01 11:30:00
158434,158434,950,2019-05-01 11:45:00-05,9.155,-6.824,48,2019-05-01 11:45:00
158435,158435,950,2019-05-01 12:00:00-05,9.247,-8.6,49,2019-05-01 12:00:00
158436,158436,950,2019-05-01 12:15:00-05,10.206,-8.686,50,2019-05-01 12:15:00
158437,158437,950,2019-05-01 12:30:00-05,11.877,-8.212,51,2019-05-01 12:30:00
158438,158438,950,2019-05-01 12:45:00-05,15.797,-15.341,52,2019-05-01 12:45:00
158439,158439,950,2019-05-01 13:00:00-05,15.998,-14.871,53,2019-05-01 13:00:00
158440,158440,950,2019-05-01 13:15:00-05,16.211,-12.326,54,2019-05-01 13:15:00
158441,158441,950,2019-05-01 13:30:00-05,15.848,-15.171,55,2019-05-01 13:30:00
158442,158442,950,2019-05-01 13:45:00-05,16.415,-15.302,56,2019-05-01 13:45:00
158443,158443,950,2019-05-01 14:00:00-05,14.817,-10.389,57,2019-05-01 14:00:00
158444,158444,950,2019-05-01 14:15:00-05,12.923,-12.349,58,2019-05-01 14:15:00
158445,158445,950,2019-05-01 14:30:00-05,6.106,-5.572,59,2019-05-01 14:30:00
158446,158446,950,2019-05-01 14:45:00-05,7.668,-3.907,60,2019-05-01 14:45:00
158447,158447,950,2019-05-01 15:00:00-05,7.67,-6.129,61,2019-05-01 15:00:00
158448,158448,950,2019-05-01 15:15:00-05,7.295,-6.657,62,2019-05-01 15:15:00
158449,158449,950,2019-05-01 15:30:00-05,8.413,-5.728,63,2019-05-01 15:30:00
158450,158450,950,2019-05-01 15:45:00-05,4.09,-1.143,64,2019-05-01 15:45:00
158451,158451,950,2019-05-01 16:00:00-05,2.907,-2.402,65,2019-05-01 16:00:00
158452,158452,950,2019-05-01 16:15:00-05,2.539,-1.988,66,2019-05-01 16:15:00
158453,158453,950,2019-05-01 16:30:00-05,2.084,2.663,67,2019-05-01 16:30:00
158454,158454,950,2019-05-01 16:45:00-05,2.078,-1.514,68,2019-05-01 16:45:00
158455,158455,950,2019-05-01 17:00:00-05,1.563,-0.939,69,2019-05-01 17:00:00
158456,158456,950,2019-05-01 17:15:00-05,0.963,2.823,70,2019-05-01 17:15:00
158457,158457,950,2019-05-01 17:30:00-05,0.571,1.465,71,2019-05-01 17:30:00
158458,158458,950,2019-05-01 17:45:00-05,0.519,-0.044,72,2019-05-01 17:45:00
158459,158459,950,2019-05-01 18:00:00-05,0.356,1.033,73,2019-05-01 18:00:00
158460,158460,950,2019-05-01 18:15:00-05,0.203,4.322,74,2019-05-01 18:15:00
158461,158461,950,2019-05-01 18:30:00-05,0.018,0.661,75,2019-05-01 18:30:00
158462,158462,950,2019-05-01 18:45:00-05,-0.032,0.664,76,2019-05-01 18:45:00
158463,158463,950,2019-05-01 19:00:00-05,-0.015,2.751,77,2019-05-01 19:00:00
158464,158464,950,2019-05-01 19:15:00-05,-0.013,2.946,78,2019-05-01 19:15:00
158465,158465,950,2019-05-01 19:30:00-05,-0.012,0.577,79,2019-05-01 19:30:00
158466,158466,950,2019-05-01 19:45:00-05,-0.012,0.487,80,2019-05-01 19:45:00
158467,158467,950,2019-05-01 20:00:00-05,-0.013,5.078,81,2019-05-01 20:00:00
158468,158468,950,2019-05-01 20:15:00-05,-0.012,0.804,82,2019-05-01 20:15:00
158469,158469,950,2019-05-01 20:30:00-05,-0.012,0.725,83,2019-05-01 20:30:00
158470,158470,950,2019-05-01 20:45:00-05,-0.012,2.544,84,2019-05-01 20:45:00
158471,158471,950,2019-05-01 21:00:00-05,-0.013,3.428,85,2019-05-01 21:00:00
158472,158472,950,2019-05-01 21:15:00-05,-0.012,0.49,86,2019-05-01 21:15:00
158473,158473,950,2019-05-01 21:30:00-05,-0.012,0.536,87,2019-05-01 21:30:00
158474,158474,950,2019-05-01 21:45:00-05,-0.013,3.859,88,2019-05-01 21:45:00
158475,158475,950,2019-05-01 22:00:00-05,-0.012,2.181,89,2019-05-01 22:00:00
158476,158476,950,2019-05-01 22:15:00-05,-0.012,0.632,90,2019-05-01 22:15:00
158477,158477,950,2019-05-01 22:30:00-05,-0.012,0.661,91,2019-05-01 22:30:00
158478,158478,950,2019-05-01 22:45:00-05,-0.013,6.289,92,2019-05-01 22:45:00
158479,158479,950,2019-05-01 23:00:00-05,-0.012,3.628,93,2019-05-01 23:00:00
158480,158480,950,2019-05-01 23:15:00-05,-0.012,0.988,94,2019-05-01 23:15:00
158481,158481,950,2019-05-01 23:30:00-05,-0.012,0.653,95,2019-05-01 23:30:00
158482,158482,950,2019-05-01 23:45:00-05,-0.013,3.985,96,2019-05-01 23:45:00
