,Unnamed: 0,dataid,local_15min,solar_total,grid
804168,979636,3039,2018-05-15 10:15:00-05,1.298,0.427
804169,979637,3039,2018-05-15 10:30:00-05,0.942,0.775
804170,979638,3039,2018-05-15 10:45:00-05,1.817,-0.065
804171,979639,3039,2018-05-15 11:00:00-05,2.197,-0.474
804172,979640,3039,2018-05-15 11:15:00-05,2.317,-0.589
804173,979641,3039,2018-05-15 11:30:00-05,2.584,-0.826
804174,979642,3039,2018-05-15 11:45:00-05,2.731,-0.986
804175,979643,3039,2018-05-16 07:15:00-05,0.098,1.4
804176,979644,3039,2018-05-16 07:30:00-05,0.131,1.422
804177,979645,3039,2018-05-16 07:45:00-05,0.164,1.347
804178,979646,3039,2018-05-16 08:00:00-05,0.203,1.26
804179,979647,3039,2018-05-16 08:15:00-05,0.206,1.267
804180,979648,3039,2018-05-16 08:30:00-05,0.208,1.32
804181,979649,3039,2018-05-16 08:45:00-05,0.225,1.286
804182,979650,3039,2018-05-16 09:00:00-05,0.292,1.194
804183,979651,3039,2018-05-16 09:15:00-05,0.462,1.026
804184,979652,3039,2018-05-16 09:30:00-05,0.627,0.934
804185,979653,3039,2018-05-16 09:45:00-05,0.992,0.497
804186,979654,3039,2018-05-16 10:00:00-05,0.915,0.63
804187,979655,3039,2018-01-01 00:00:00-06,,
804188,979656,3039,2018-01-01 00:15:00-06,,
804189,979657,3039,2018-01-01 00:30:00-06,,
804190,979658,3039,2018-01-01 00:45:00-06,,
804191,979659,3039,2018-01-01 01:00:00-06,-0.004,1.463
804192,979660,3039,2018-01-01 01:15:00-06,-0.005,2.889
804193,979661,3039,2018-01-01 01:30:00-06,-0.005,1.594
804194,979662,3039,2018-01-01 01:45:00-06,-0.005,1.736
804195,979663,3039,2018-01-01 02:00:00-06,-0.005,1.655
804196,979664,3039,2018-01-01 02:15:00-06,-0.005,2.038
804197,979665,3039,2018-01-01 02:30:00-06,-0.005,1.155
804198,979666,3039,2018-01-01 02:45:00-06,-0.005,1.138
804199,979667,3039,2018-01-01 03:00:00-06,,
804200,979668,3039,2018-01-01 03:15:00-06,,
804201,979669,3039,2018-01-01 03:30:00-06,,
804202,979670,3039,2018-01-01 03:45:00-06,,
804203,979671,3039,2018-01-01 04:00:00-06,,
804204,979672,3039,2018-01-01 04:15:00-06,,
804205,979673,3039,2018-01-01 04:30:00-06,,
804206,979674,3039,2018-01-01 04:45:00-06,,
804207,979675,3039,2018-01-01 05:00:00-06,-0.005,0.756
804208,979676,3039,2018-01-01 05:15:00-06,-0.005,0.746
804209,979677,3039,2018-01-01 05:30:00-06,-0.005,1.482
804210,979678,3039,2018-01-01 05:45:00-06,-0.005,1.473
804211,979679,3039,2018-01-01 06:00:00-06,-0.005,1.067
804212,979680,3039,2018-01-01 06:15:00-06,-0.005,0.654
804213,979681,3039,2018-01-01 06:30:00-06,-0.005,0.69
804214,979682,3039,2018-01-01 06:45:00-06,-0.005,1.033
804215,979683,3039,2018-01-01 07:00:00-06,,
804216,979684,3039,2018-01-01 07:15:00-06,,
804217,979685,3039,2018-01-01 07:30:00-06,,
804218,979686,3039,2018-01-01 07:45:00-06,,
804219,979687,3039,2018-01-01 08:00:00-06,0.106,1.4
804220,979688,3039,2018-01-01 08:15:00-06,0.159,2.862
804221,979689,3039,2018-01-01 08:30:00-06,0.363,1.54
804222,979690,3039,2018-01-01 08:45:00-06,0.514,1.176
804223,979691,3039,2018-01-01 09:00:00-06,,
804224,979692,3039,2018-01-01 09:15:00-06,,
804225,979693,3039,2018-01-01 09:30:00-06,,
804226,979694,3039,2018-01-01 09:45:00-06,,
804227,979695,3039,2018-01-01 10:00:00-06,,
804228,979696,3039,2018-01-01 10:15:00-06,,
804229,979697,3039,2018-01-01 10:30:00-06,,
804230,979698,3039,2018-01-01 10:45:00-06,,
804231,979699,3039,2018-01-06 06:30:00-06,,
804232,979700,3039,2018-01-01 11:00:00-06,1.58,0.082
804233,979701,3039,2018-01-01 11:15:00-06,1.471,0.878
804234,979702,3039,2018-01-01 11:30:00-06,1.597,0.818
804235,979703,3039,2018-01-01 11:45:00-06,1.651,0.122
804236,979704,3039,2018-01-01 12:00:00-06,,
804237,979705,3039,2018-01-01 12:15:00-06,,
804238,979706,3039,2018-01-01 12:30:00-06,,
804239,979707,3039,2018-01-01 12:45:00-06,,
804240,979708,3039,2018-01-01 13:00:00-06,,
804241,979709,3039,2018-01-01 13:15:00-06,,
804242,979710,3039,2018-01-01 13:30:00-06,,
804243,979711,3039,2018-01-01 13:45:00-06,,
804244,979712,3039,2018-01-01 14:00:00-06,,
804245,979713,3039,2018-01-01 14:15:00-06,,
804246,979714,3039,2018-01-01 14:30:00-06,,
804247,979715,3039,2018-01-01 14:45:00-06,,
804248,979716,3039,2018-01-01 15:00:00-06,,
804249,979717,3039,2018-01-01 15:15:00-06,,
804250,979718,3039,2018-01-01 15:30:00-06,,
804251,979719,3039,2018-01-01 15:45:00-06,,
804252,979720,3039,2018-01-01 16:00:00-06,,
804253,979721,3039,2018-01-01 16:15:00-06,,
804254,979722,3039,2018-01-01 16:30:00-06,,
804255,979723,3039,2018-01-01 16:45:00-06,,
804256,979724,3039,2018-01-01 17:00:00-06,,
804257,979725,3039,2018-01-01 17:15:00-06,,
804258,979726,3039,2018-01-01 17:30:00-06,,
804259,979727,3039,2018-01-01 17:45:00-06,,
804260,979728,3039,2018-01-01 18:00:00-06,-0.013,3.912
804261,979729,3039,2018-01-01 18:15:00-06,-0.005,2.614
804262,979730,3039,2018-01-01 18:30:00-06,-0.005,2.292
804263,979731,3039,2018-01-01 18:45:00-06,-0.005,2.164
804264,979732,3039,2018-01-01 19:00:00-06,-0.005,2.091
