,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
1069729,1069729,5058,2019-05-01 00:00:00-05,-0.006,0.6,1,2019-05-01 00:00:00
1069730,1069730,5058,2019-05-01 00:15:00-05,-0.006,0.224,2,2019-05-01 00:15:00
1069731,1069731,5058,2019-05-01 00:30:00-05,-0.006,0.216,3,2019-05-01 00:30:00
1069732,1069732,5058,2019-05-01 00:45:00-05,-0.006,0.238,4,2019-05-01 00:45:00
1069733,1069733,5058,2019-05-01 01:00:00-05,-0.006,0.284,5,2019-05-01 01:00:00
1069734,1069734,5058,2019-05-01 01:15:00-05,-0.006,0.203,6,2019-05-01 01:15:00
1069735,1069735,5058,2019-05-01 01:30:00-05,-0.006,0.203,7,2019-05-01 01:30:00
1069736,1069736,5058,2019-05-01 01:45:00-05,-0.006,0.203,8,2019-05-01 01:45:00
1069737,1069737,5058,2019-05-01 02:00:00-05,-0.006,0.203,9,2019-05-01 02:00:00
1069738,1069738,5058,2019-05-01 02:15:00-05,-0.007,1.205,10,2019-05-01 02:15:00
1069739,1069739,5058,2019-05-01 02:30:00-05,-0.007,1.82,11,2019-05-01 02:30:00
1069740,1069740,5058,2019-05-01 02:45:00-05,-0.006,0.485,12,2019-05-01 02:45:00
1069741,1069741,5058,2019-05-01 03:00:00-05,-0.005,1.709,13,2019-05-01 03:00:00
1069742,1069742,5058,2019-05-01 03:15:00-05,-0.006,0.837,14,2019-05-01 03:15:00
1069743,1069743,5058,2019-05-01 03:30:00-05,-0.006,1.025,15,2019-05-01 03:30:00
1069744,1069744,5058,2019-05-01 03:45:00-05,-0.005,1.232,16,2019-05-01 03:45:00
1069745,1069745,5058,2019-05-01 04:00:00-05,-0.005,1.222,17,2019-05-01 04:00:00
1069746,1069746,5058,2019-05-01 04:15:00-05,-0.006,0.885,18,2019-05-01 04:15:00
1069747,1069747,5058,2019-05-01 04:30:00-05,-0.006,1.045,19,2019-05-01 04:30:00
1069748,1069748,5058,2019-05-01 04:45:00-05,-0.006,1.098,20,2019-05-01 04:45:00
1069749,1069749,5058,2019-05-01 05:00:00-05,-0.007,2.474,21,2019-05-01 05:00:00
1069750,1069750,5058,2019-05-01 05:15:00-05,-0.005,1.184,22,2019-05-01 05:15:00
1069751,1069751,5058,2019-05-01 05:30:00-05,-0.006,0.861,23,2019-05-01 05:30:00
1069752,1069752,5058,2019-05-01 05:45:00-05,-0.013,1.132,24,2019-05-01 05:45:00
1069753,1069753,5058,2019-05-01 06:00:00-05,-0.006,1.281,25,2019-05-01 06:00:00
1069754,1069754,5058,2019-05-01 06:15:00-05,-0.002,1.81,26,2019-05-01 06:15:00
1069755,1069755,5058,2019-05-01 06:30:00-05,0.002,1.349,27,2019-05-01 06:30:00
1069756,1069756,5058,2019-05-01 06:45:00-05,0.005,1.478,28,2019-05-01 06:45:00
1069757,1069757,5058,2019-05-01 07:00:00-05,0.074,0.791,29,2019-05-01 07:00:00
1069758,1069758,5058,2019-05-01 07:15:00-05,0.186,0.609,30,2019-05-01 07:15:00
1069759,1069759,5058,2019-05-01 07:30:00-05,0.236,0.673,31,2019-05-01 07:30:00
1069760,1069760,5058,2019-05-01 07:45:00-05,0.25,0.658,32,2019-05-01 07:45:00
1069761,1069761,5058,2019-05-01 08:00:00-05,0.254,0.956,33,2019-05-01 08:00:00
1069762,1069762,5058,2019-05-01 08:15:00-05,0.292,0.773,34,2019-05-01 08:15:00
1069763,1069763,5058,2019-05-01 08:30:00-05,0.442,0.593,35,2019-05-01 08:30:00
1069764,1069764,5058,2019-05-01 08:45:00-05,0.489,0.485,36,2019-05-01 08:45:00
1069765,1069765,5058,2019-05-01 09:00:00-05,0.583,0.21,37,2019-05-01 09:00:00
1069766,1069766,5058,2019-05-01 09:15:00-05,0.452,0.492,38,2019-05-01 09:15:00
1069767,1069767,5058,2019-05-01 09:30:00-05,0.587,0.289,39,2019-05-01 09:30:00
1069768,1069768,5058,2019-05-01 09:45:00-05,0.743,0.089,40,2019-05-01 09:45:00
1069769,1069769,5058,2019-05-01 10:00:00-05,0.872,0.058,41,2019-05-01 10:00:00
1069770,1069770,5058,2019-05-01 10:15:00-05,1.074,-0.427,42,2019-05-01 10:15:00
1069771,1069771,5058,2019-05-01 10:30:00-05,1.215,-0.86,43,2019-05-01 10:30:00
1069772,1069772,5058,2019-05-01 10:45:00-05,1.031,-0.719,44,2019-05-01 10:45:00
1069773,1069773,5058,2019-05-01 11:00:00-05,1.63,-0.49,45,2019-05-01 11:00:00
1069774,1069774,5058,2019-05-01 11:15:00-05,1.645,-1.377,46,2019-05-01 11:15:00
1069775,1069775,5058,2019-05-01 11:30:00-05,2.008,-1.71,47,2019-05-01 11:30:00
1069776,1069776,5058,2019-05-01 11:45:00-05,1.878,-1.555,48,2019-05-01 11:45:00
1069777,1069777,5058,2019-05-01 12:00:00-05,1.794,-1.448,49,2019-05-01 12:00:00
1069778,1069778,5058,2019-05-01 12:15:00-05,2.179,-1.725,50,2019-05-01 12:15:00
1069779,1069779,5058,2019-05-01 12:30:00-05,2.379,-1.912,51,2019-05-01 12:30:00
1069780,1069780,5058,2019-05-01 12:45:00-05,3.19,-2.964,52,2019-05-01 12:45:00
1069781,1069781,5058,2019-05-01 13:00:00-05,3.268,-3.058,53,2019-05-01 13:00:00
1069782,1069782,5058,2019-05-01 13:15:00-05,3.264,-3.034,54,2019-05-01 13:15:00
1069783,1069783,5058,2019-05-01 13:30:00-05,3.032,-2.721,55,2019-05-01 13:30:00
1069784,1069784,5058,2019-05-01 13:45:00-05,3.246,-3.032,56,2019-05-01 13:45:00
1069785,1069785,5058,2019-05-01 14:00:00-05,3.041,-2.832,57,2019-05-01 14:00:00
1069786,1069786,5058,2019-05-01 14:15:00-05,2.49,-2.276,58,2019-05-01 14:15:00
1069787,1069787,5058,2019-05-01 14:30:00-05,1.166,-0.941,59,2019-05-01 14:30:00
1069788,1069788,5058,2019-05-01 14:45:00-05,1.554,-1.218,60,2019-05-01 14:45:00
1069789,1069789,5058,2019-05-01 15:00:00-05,1.514,-0.802,61,2019-05-01 15:00:00
1069790,1069790,5058,2019-05-01 15:15:00-05,1.329,-0.826,62,2019-05-01 15:15:00
1069791,1069791,5058,2019-05-01 15:30:00-05,1.463,-1.244,63,2019-05-01 15:30:00
1069792,1069792,5058,2019-05-01 15:45:00-05,0.746,-0.517,64,2019-05-01 15:45:00
1069793,1069793,5058,2019-05-01 16:00:00-05,0.567,-0.237,65,2019-05-01 16:00:00
1069794,1069794,5058,2019-05-01 16:15:00-05,0.485,-0.155,66,2019-05-01 16:15:00
1069795,1069795,5058,2019-05-01 16:30:00-05,0.378,-0.191,67,2019-05-01 16:30:00
1069796,1069796,5058,2019-05-01 16:45:00-05,0.409,-0.223,68,2019-05-01 16:45:00
1069797,1069797,5058,2019-05-01 17:00:00-05,0.287,0.111,69,2019-05-01 17:00:00
1069798,1069798,5058,2019-05-01 17:15:00-05,0.167,0.15,70,2019-05-01 17:15:00
1069799,1069799,5058,2019-05-01 17:30:00-05,0.08,0.218,71,2019-05-01 17:30:00
1069800,1069800,5058,2019-05-01 17:45:00-05,0.073,0.143,72,2019-05-01 17:45:00
1069801,1069801,5058,2019-05-01 18:00:00-05,0.01,0.19,73,2019-05-01 18:00:00
1069802,1069802,5058,2019-05-01 18:15:00-05,-0.001,0.215,74,2019-05-01 18:15:00
1069803,1069803,5058,2019-05-01 18:30:00-05,-0.008,0.376,75,2019-05-01 18:30:00
1069804,1069804,5058,2019-05-01 18:45:00-05,-0.013,0.242,76,2019-05-01 18:45:00
1069805,1069805,5058,2019-05-01 19:00:00-05,-0.006,0.213,77,2019-05-01 19:00:00
1069806,1069806,5058,2019-05-01 19:15:00-05,-0.006,0.211,78,2019-05-01 19:15:00
1069807,1069807,5058,2019-05-01 19:30:00-05,-0.006,0.536,79,2019-05-01 19:30:00
