,Unnamed: 0,dataid,local_15min,solar_total,grid
665088,840556,1642,2018-01-01 13:00:00-06,1.098,-0.486
665089,840557,1642,2018-01-01 13:15:00-06,1.184,-0.862
665090,840558,1642,2018-01-01 13:30:00-06,1.156,-0.838
665091,840559,1642,2018-01-01 13:45:00-06,1.076,-0.769
665092,840560,1642,2018-01-01 14:00:00-06,1.123,-0.57
665093,840561,1642,2018-01-01 14:15:00-06,0.978,-0.179
665094,840562,1642,2018-01-01 14:30:00-06,0.874,-0.535
665095,840563,1642,2018-01-01 14:45:00-06,1.077,-0.65
665096,840564,1642,2018-01-01 15:00:00-06,0.769,-0.352
665097,840565,1642,2018-01-01 15:15:00-06,0.459,-0.047
665098,840566,1642,2018-01-01 15:30:00-06,0.551,-0.127
665099,840567,1642,2018-01-01 15:45:00-06,0.468,-0.025
665100,840568,1642,2018-01-01 16:00:00-06,0.483,-0.099
665101,840569,1642,2018-01-01 16:15:00-06,0.426,3.658
665102,840570,1642,2018-01-01 16:30:00-06,0.561,4.704
665103,840571,1642,2018-01-01 16:45:00-06,0.126,3.182
665104,840572,1642,2018-01-01 17:00:00-06,0.033,0.509
665105,840573,1642,2018-01-01 17:15:00-06,-0.009,0.521
665106,840574,1642,2018-01-01 17:30:00-06,-0.025,0.842
665107,840575,1642,2018-01-01 17:45:00-06,-0.028,1.089
665108,840576,1642,2018-01-01 18:00:00-06,-0.013,2.172
665109,840577,1642,2018-01-01 18:15:00-06,-0.005,1.622
665110,840578,1642,2018-01-01 18:30:00-06,-0.002,1.384
665111,840579,1642,2018-01-01 18:45:00-06,-0.002,1.473
665112,840580,1642,2018-01-01 19:00:00-06,-0.004,2.184
665113,840581,1642,2018-01-01 19:15:00-06,-0.004,2.419
665114,840582,1642,2018-01-01 19:30:00-06,-0.003,2.395
665115,840583,1642,2018-01-01 19:45:00-06,-0.003,2.128
665116,840584,1642,2018-01-01 20:00:00-06,-0.004,1.743
665117,840585,1642,2018-01-01 20:15:00-06,-0.002,2.545
665118,840586,1642,2018-01-01 20:30:00-06,-0.003,1.111
665119,840587,1642,2018-01-01 20:45:00-06,-0.003,1.181
665120,840588,1642,2018-01-01 21:00:00-06,-0.003,1.2
665121,840589,1642,2018-01-01 21:15:00-06,-0.002,1.201
665122,840590,1642,2018-01-01 21:30:00-06,-0.002,1.087
665123,840591,1642,2018-01-01 21:45:00-06,-0.002,0.925
665124,840592,1642,2018-01-01 22:00:00-06,-0.002,0.926
665125,840593,1642,2018-01-01 22:15:00-06,-0.003,0.626
665126,840594,1642,2018-01-01 22:30:00-06,-0.005,0.57
665127,840595,1642,2018-01-01 22:45:00-06,-0.005,0.406
665128,840596,1642,2018-01-01 23:00:00-06,-0.005,0.459
665129,840597,1642,2018-01-01 23:15:00-06,-0.005,0.431
665130,840598,1642,2018-01-01 23:30:00-06,-0.005,0.556
665131,840599,1642,2018-01-01 23:45:00-06,-0.005,0.423
665132,840600,1642,2018-01-06 16:45:00-06,0.197,0.456
665133,840601,1642,2018-01-01 04:45:00-06,-0.005,0.346
665134,840602,1642,2018-01-01 05:00:00-06,-0.005,0.325
665135,840603,1642,2018-01-01 05:15:00-06,-0.005,0.431
665136,840604,1642,2018-01-01 05:30:00-06,-0.005,0.461
665137,840605,1642,2018-01-01 05:45:00-06,-0.005,0.676
665138,840606,1642,2018-01-01 06:00:00-06,-0.004,1.005
665139,840607,1642,2018-01-01 06:15:00-06,-0.003,0.807
665140,840608,1642,2018-01-01 06:30:00-06,-0.003,0.987
665141,840609,1642,2018-01-01 06:45:00-06,-0.002,0.953
665142,840610,1642,2018-01-01 07:00:00-06,-0.004,0.492
665143,840611,1642,2018-01-01 07:15:00-06,-0.002,0.839
665144,840612,1642,2018-01-01 07:30:00-06,-0.005,0.816
665145,840613,1642,2018-01-01 07:45:00-06,0.01,0.82
665146,840614,1642,2018-01-01 08:00:00-06,0.101,0.744
665147,840615,1642,2018-01-01 08:15:00-06,0.154,0.394
665148,840616,1642,2018-01-01 08:30:00-06,0.408,-0.126
665149,840617,1642,2018-01-01 08:45:00-06,0.571,-0.342
665150,840618,1642,2018-01-01 09:00:00-06,1.071,1.333
665151,840619,1642,2018-01-01 09:15:00-06,0.919,0.504
665152,840620,1642,2018-01-01 09:30:00-06,1.201,0.393
665153,840621,1642,2018-01-01 09:45:00-06,1.287,-0.909
665154,840622,1642,2018-01-01 10:00:00-06,1.129,-0.695
665155,840623,1642,2018-01-01 10:15:00-06,1.29,-0.901
665156,840624,1642,2018-01-01 10:30:00-06,1.429,-0.993
665157,840625,1642,2018-01-01 10:45:00-06,1.72,-1.3
665158,840626,1642,2018-01-01 11:00:00-06,1.893,0.866
665159,840627,1642,2018-01-01 11:15:00-06,1.66,3.651
665160,840628,1642,2018-01-01 11:30:00-06,1.799,1.339
665161,840629,1642,2018-01-01 11:45:00-06,1.707,-0.539
665162,840630,1642,2018-01-01 12:00:00-06,1.75,0.916
665163,840631,1642,2018-01-01 12:15:00-06,1.767,0.143
665164,840632,1642,2018-01-01 12:30:00-06,1.674,0.38
665165,840633,1642,2018-01-01 12:45:00-06,1.369,-0.409
665166,840634,1642,2018-01-01 00:00:00-06,-0.005,0.431
665167,840635,1642,2018-01-01 00:15:00-06,-0.005,0.605
665168,840636,1642,2018-01-01 00:30:00-06,-0.003,0.884
665169,840637,1642,2018-01-01 00:45:00-06,-0.005,0.441
665170,840638,1642,2018-01-01 01:00:00-06,-0.004,0.399
665171,840639,1642,2018-01-01 01:15:00-06,-0.004,0.38
665172,840640,1642,2018-01-01 01:30:00-06,-0.005,0.496
665173,840641,1642,2018-01-01 01:45:00-06,-0.005,0.493
665174,840642,1642,2018-01-01 02:00:00-06,-0.004,0.377
665175,840643,1642,2018-01-01 02:15:00-06,-0.004,0.375
