,Unnamed: 0,dataid,local_15min,solar_total,grid
978740,1154208,4767,2018-01-01 00:00:00-06,-0.002,0.766
978741,1154209,4767,2018-01-01 00:15:00-06,-0.002,0.91
978742,1154210,4767,2018-01-01 00:30:00-06,-0.003,0.847
978743,1154211,4767,2018-01-01 00:45:00-06,-0.002,0.84
978744,1154212,4767,2018-01-01 01:00:00-06,-0.003,0.991
978745,1154213,4767,2018-01-01 01:15:00-06,-0.003,0.868
978746,1154214,4767,2018-01-01 01:30:00-06,-0.003,1.388
978747,1154215,4767,2018-01-01 01:45:00-06,-0.003,1.175
978748,1154216,4767,2018-01-01 02:00:00-06,-0.003,0.918
978749,1154217,4767,2018-01-01 02:15:00-06,-0.003,0.843
978750,1154218,4767,2018-01-01 02:30:00-06,-0.003,0.865
978751,1154219,4767,2018-01-01 02:45:00-06,-0.002,0.793
978752,1154220,4767,2018-01-01 03:00:00-06,-0.003,0.858
978753,1154221,4767,2018-01-01 03:15:00-06,-0.003,0.876
978754,1154222,4767,2018-01-01 03:30:00-06,-0.003,0.8
978755,1154223,4767,2018-01-01 03:45:00-06,-0.002,0.772
978756,1154224,4767,2018-01-01 04:00:00-06,-0.003,0.685
978757,1154225,4767,2018-01-01 04:15:00-06,-0.003,1.239
978758,1154226,4767,2018-01-01 04:30:00-06,-0.003,1.429
978759,1154227,4767,2018-01-01 04:45:00-06,-0.003,1.391
978760,1154228,4767,2018-01-01 05:00:00-06,-0.003,1.306
978761,1154229,4767,2018-01-01 05:15:00-06,-0.003,1.358
978762,1154230,4767,2018-01-01 05:30:00-06,-0.003,1.393
978763,1154231,4767,2018-01-01 05:45:00-06,-0.003,1.377
978764,1154232,4767,2018-01-01 06:00:00-06,-0.003,1.327
978765,1154233,4767,2018-01-01 06:15:00-06,-0.003,1.354
978766,1154234,4767,2018-01-01 06:30:00-06,-0.003,1.325
978767,1154235,4767,2018-01-01 06:45:00-06,-0.003,1.398
978768,1154236,4767,2018-01-01 07:00:00-06,-0.003,1.381
