,Unnamed: 0,dataid,local_15min,solar_total,grid
874136,1049604,3538,2018-01-01 00:00:00-06,0.002,1.293
874137,1049605,3538,2018-01-01 00:15:00-06,0.002,1.071
874138,1049606,3538,2018-01-01 00:30:00-06,0.003,1.358
874139,1049607,3538,2018-01-01 00:45:00-06,0.001,1.062
874140,1049608,3538,2018-01-01 01:00:00-06,0.002,1.291
874141,1049609,3538,2018-01-01 01:15:00-06,0.002,1.28
874142,1049610,3538,2018-01-01 01:30:00-06,0.002,1.156
874143,1049611,3538,2018-01-01 01:45:00-06,0.002,1.273
874144,1049612,3538,2018-01-01 02:00:00-06,0.001,1.099
874145,1049613,3538,2018-01-01 02:15:00-06,0.002,1.308
874146,1049614,3538,2018-01-01 02:30:00-06,0.002,1.231
874147,1049615,3538,2018-01-01 02:45:00-06,0.001,1.128
874148,1049616,3538,2018-01-01 03:00:00-06,0.002,1.291
874149,1049617,3538,2018-01-01 03:15:00-06,0.001,1.11
874150,1049618,3538,2018-01-01 03:30:00-06,0.002,1.15
874151,1049619,3538,2018-01-01 03:45:00-06,0.002,1.274
874152,1049620,3538,2018-01-01 04:00:00-06,0.0,0.939
874153,1049621,3538,2018-01-01 04:15:00-06,0.003,1.311
874154,1049622,3538,2018-01-01 04:30:00-06,0.001,1.087
874155,1049623,3538,2018-01-01 04:45:00-06,0.001,1.103
874156,1049624,3538,2018-01-01 05:00:00-06,0.002,1.287
874157,1049625,3538,2018-01-01 05:15:00-06,0.001,1.034
874158,1049626,3538,2018-01-01 05:30:00-06,0.002,1.168
874159,1049627,3538,2018-01-01 05:45:00-06,0.002,1.275
874160,1049628,3538,2018-01-01 06:00:00-06,0.0,0.905
874161,1049629,3538,2018-01-01 06:15:00-06,0.003,1.343
874162,1049630,3538,2018-01-01 06:30:00-06,0.002,1.218
874163,1049631,3538,2018-01-01 06:45:00-06,0.002,1.073
874164,1049632,3538,2018-01-01 07:00:00-06,0.003,1.315
874165,1049633,3538,2018-01-01 07:15:00-06,0.0,0.94
874166,1049634,3538,2018-01-01 07:30:00-06,-0.002,1.248
874167,1049635,3538,2018-01-01 07:45:00-06,0.005,1.215
874168,1049636,3538,2018-01-01 08:00:00-06,0.075,0.92
874169,1049637,3538,2018-01-01 08:15:00-06,0.12,1.259
874170,1049638,3538,2018-01-01 08:30:00-06,0.308,0.881
874171,1049639,3538,2018-01-01 08:45:00-06,0.434,-0.004
874172,1049640,3538,2018-01-01 09:00:00-06,0.8,0.04
874173,1049641,3538,2018-01-01 09:15:00-06,0.695,0.426
874174,1049642,3538,2018-01-01 09:30:00-06,0.881,-0.098
874175,1049643,3538,2018-01-01 09:45:00-06,0.962,-0.616
