,Unnamed: 0,dataid,local_15min,solar_total,grid
455452,630920,4934,2015-07-01 00:00:00-05,,0.089
455453,630921,4934,2015-07-01 00:15:00-05,,0.211
455454,630922,4934,2015-07-01 00:30:00-05,,0.189
455455,630923,4934,2015-07-01 00:45:00-05,,0.163
455456,630924,4934,2015-07-01 01:00:00-05,,0.086
455457,630925,4934,2015-07-01 01:15:00-05,,0.086
455458,630926,4934,2015-07-01 01:30:00-05,,0.153
455459,630927,4934,2015-07-01 01:45:00-05,,0.196
455460,630928,4934,2015-07-01 02:00:00-05,,0.185
455461,630929,4934,2015-07-01 02:15:00-05,,0.117
455462,630930,4934,2015-07-01 02:30:00-05,,0.086
455463,630931,4934,2015-07-01 02:45:00-05,,0.086
455464,630932,4934,2015-07-01 03:00:00-05,,0.2
455465,630933,4934,2015-07-01 03:15:00-05,,0.19
455466,630934,4934,2015-07-01 03:30:00-05,,0.175
455467,630935,4934,2015-07-01 03:45:00-05,,0.086
455468,630936,4934,2015-07-01 04:00:00-05,,0.086
455469,630937,4934,2015-07-01 04:15:00-05,,0.125
455470,630938,4934,2015-07-01 04:30:00-05,,0.2
455471,630939,4934,2015-07-01 04:45:00-05,,0.186
455472,630940,4934,2015-07-01 05:00:00-05,,0.123
455473,630941,4934,2015-07-01 05:15:00-05,,0.086
455474,630942,4934,2015-07-01 05:30:00-05,,0.086
455475,630943,4934,2015-07-01 05:45:00-05,,0.192
455476,630944,4934,2015-07-01 06:00:00-05,,0.19
455477,630945,4934,2015-07-01 06:15:00-05,,0.174
455478,630946,4934,2015-07-01 06:30:00-05,,0.086
455479,630947,4934,2015-07-01 06:45:00-05,,0.086
455480,630948,4934,2015-07-01 07:00:00-05,,0.124
455481,630949,4934,2015-07-01 07:15:00-05,,0.2
455482,630950,4934,2015-07-01 07:30:00-05,,0.185
455483,630951,4934,2015-07-01 07:45:00-05,,0.124
455484,630952,4934,2015-07-01 08:00:00-05,,0.086
455485,630953,4934,2015-07-01 08:15:00-05,,0.086
455486,630954,4934,2015-07-01 08:30:00-05,,0.189
455487,630955,4934,2015-07-01 08:45:00-05,,0.189
455488,630956,4934,2015-07-01 09:00:00-05,,0.162
455489,630957,4934,2015-07-01 09:15:00-05,,0.086
455490,630958,4934,2015-07-01 09:30:00-05,,0.086
455491,630959,4934,2015-07-01 09:45:00-05,,0.143
455492,630960,4934,2015-07-01 10:00:00-05,,0.195
455493,630961,4934,2015-07-01 10:15:00-05,,0.185
455494,630962,4934,2015-07-01 10:30:00-05,,0.105
455495,630963,4934,2015-07-01 10:45:00-05,,0.087
455496,630964,4934,2015-07-01 11:00:00-05,,0.089
455497,630965,4934,2015-07-01 11:15:00-05,,0.207
455498,630966,4934,2015-07-01 11:30:00-05,,0.188
455499,630967,4934,2015-07-01 11:45:00-05,,0.15
455500,630968,4934,2015-07-01 12:00:00-05,,0.086
455501,630969,4934,2015-07-01 12:15:00-05,,0.087
455502,630970,4934,2015-07-01 12:30:00-05,,0.153
455503,630971,4934,2015-07-01 12:45:00-05,,0.196
455504,630972,4934,2015-07-01 13:00:00-05,,0.185
455505,630973,4934,2015-07-01 13:15:00-05,,0.112
455506,630974,4934,2015-07-01 13:30:00-05,,0.086
455507,630975,4934,2015-07-01 13:45:00-05,,0.086
455508,630976,4934,2015-07-01 14:00:00-05,,0.204
455509,630977,4934,2015-07-01 14:15:00-05,,0.188
455510,630978,4934,2015-07-01 14:30:00-05,,0.156
455511,630979,4934,2015-07-01 14:45:00-05,,0.087
455512,630980,4934,2015-07-01 15:00:00-05,,0.087
455513,630981,4934,2015-07-01 15:15:00-05,,0.154
455514,630982,4934,2015-07-01 15:30:00-05,,0.197
455515,630983,4934,2015-07-01 15:45:00-05,,0.186
455516,630984,4934,2015-07-01 16:00:00-05,,0.118
455517,630985,4934,2015-07-01 16:15:00-05,,0.087
455518,630986,4934,2015-07-01 16:30:00-05,,0.087
455519,630987,4934,2015-07-01 16:45:00-05,,0.199
455520,630988,4934,2015-07-01 17:00:00-05,,0.19
455521,630989,4934,2015-07-01 17:15:00-05,,0.163
455522,630990,4934,2015-07-01 17:30:00-05,,0.087
455523,630991,4934,2015-07-01 17:45:00-05,,0.086
455524,630992,4934,2015-07-01 18:00:00-05,,0.154
455525,630993,4934,2015-07-01 18:15:00-05,,0.197
455526,630994,4934,2015-07-01 18:30:00-05,,0.186
455527,630995,4934,2015-07-01 18:45:00-05,,0.118
455528,630996,4934,2015-07-01 19:00:00-05,,0.087
455529,630997,4934,2015-07-01 19:15:00-05,,0.087
455530,630998,4934,2015-07-01 19:30:00-05,,0.209
455531,630999,4934,2015-07-01 19:45:00-05,,0.191
455532,631000,4934,2015-07-01 20:00:00-05,,0.176
455533,631001,4934,2015-07-01 20:15:00-05,,0.087
455534,631002,4934,2015-07-01 20:30:00-05,,0.087
455535,631003,4934,2015-07-01 20:45:00-05,,0.136
455536,631004,4934,2015-07-01 21:00:00-05,,0.203
455537,631005,4934,2015-07-01 21:15:00-05,,0.188
455538,631006,4934,2015-07-01 21:30:00-05,,0.138
455539,631007,4934,2015-07-01 21:45:00-05,,0.087
455540,631008,4934,2015-07-01 22:00:00-05,,0.087
455541,631009,4934,2015-07-01 22:15:00-05,,0.186
455542,631010,4934,2015-07-01 22:30:00-05,,0.192
455543,631011,4934,2015-07-01 22:45:00-05,,0.184
455544,631012,4934,2015-07-01 23:00:00-05,,0.099
455545,631013,4934,2015-07-01 23:15:00-05,,0.087
455546,631014,4934,2015-07-01 23:30:00-05,,0.107
455547,631015,4934,2015-07-01 23:45:00-05,,0.209
455548,631016,4934,2015-07-02 00:00:00-05,,0.189
