,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
648845,648845,3488,2019-05-01 00:00:00-05,-0.003,0.469,1,2019-05-01 00:00:00
648846,648846,3488,2019-05-01 00:15:00-05,-0.003,0.618,2,2019-05-01 00:15:00
648847,648847,3488,2019-05-01 00:30:00-05,-0.003,0.516,3,2019-05-01 00:30:00
648848,648848,3488,2019-05-01 00:45:00-05,-0.003,0.864,4,2019-05-01 00:45:00
648849,648849,3488,2019-05-01 01:00:00-05,-0.003,0.408,5,2019-05-01 01:00:00
648850,648850,3488,2019-05-01 01:15:00-05,-0.003,0.752,6,2019-05-01 01:15:00
648851,648851,3488,2019-05-01 01:30:00-05,-0.003,0.372,7,2019-05-01 01:30:00
648852,648852,3488,2019-05-01 01:45:00-05,-0.003,0.544,8,2019-05-01 01:45:00
648853,648853,3488,2019-05-01 02:00:00-05,-0.003,0.502,9,2019-05-01 02:00:00
648854,648854,3488,2019-05-01 02:15:00-05,-0.003,0.442,10,2019-05-01 02:15:00
648855,648855,3488,2019-05-01 02:30:00-05,-0.003,0.605,11,2019-05-01 02:30:00
648856,648856,3488,2019-05-01 02:45:00-05,-0.003,0.358,12,2019-05-01 02:45:00
648857,648857,3488,2019-05-01 03:00:00-05,-0.003,0.736,13,2019-05-01 03:00:00
648858,648858,3488,2019-05-01 03:15:00-05,-0.003,0.448,14,2019-05-01 03:15:00
648859,648859,3488,2019-05-01 03:30:00-05,-0.003,0.835,15,2019-05-01 03:30:00
648860,648860,3488,2019-05-01 03:45:00-05,-0.003,0.555,16,2019-05-01 03:45:00
648861,648861,3488,2019-05-01 04:00:00-05,-0.003,0.871,17,2019-05-01 04:00:00
648862,648862,3488,2019-05-01 04:15:00-05,-0.003,0.5,18,2019-05-01 04:15:00
648863,648863,3488,2019-05-01 04:30:00-05,-0.003,0.856,19,2019-05-01 04:30:00
648864,648864,3488,2019-05-01 04:45:00-05,-0.003,0.572,20,2019-05-01 04:45:00
648865,648865,3488,2019-05-01 05:00:00-05,-0.003,0.78,21,2019-05-01 05:00:00
648866,648866,3488,2019-05-01 05:15:00-05,-0.003,0.573,22,2019-05-01 05:15:00
648867,648867,3488,2019-05-01 05:30:00-05,-0.003,0.796,23,2019-05-01 05:30:00
648868,648868,3488,2019-05-01 05:45:00-05,-0.005,0.644,24,2019-05-01 05:45:00
648869,648869,3488,2019-05-01 06:00:00-05,0.003,0.577,25,2019-05-01 06:00:00
648870,648870,3488,2019-05-01 06:15:00-05,0.015,0.699,26,2019-05-01 06:15:00
648871,648871,3488,2019-05-01 06:30:00-05,0.026,0.97,27,2019-05-01 06:30:00
648872,648872,3488,2019-05-01 06:45:00-05,0.034,0.874,28,2019-05-01 06:45:00
648873,648873,3488,2019-05-01 07:00:00-05,0.069,1.132,29,2019-05-01 07:00:00
648874,648874,3488,2019-05-01 07:15:00-05,0.112,1.155,30,2019-05-01 07:15:00
648875,648875,3488,2019-05-01 07:30:00-05,0.122,1.013,31,2019-05-01 07:30:00
648876,648876,3488,2019-05-01 07:45:00-05,0.136,0.815,32,2019-05-01 07:45:00
648877,648877,3488,2019-05-01 08:00:00-05,0.172,0.667,33,2019-05-01 08:00:00
648878,648878,3488,2019-05-01 08:15:00-05,0.199,0.679,34,2019-05-01 08:15:00
648879,648879,3488,2019-05-01 08:30:00-05,0.23,0.661,35,2019-05-01 08:30:00
648880,648880,3488,2019-05-01 08:45:00-05,0.283,0.619,36,2019-05-01 08:45:00
648881,648881,3488,2019-05-01 09:00:00-05,0.329,0.62,37,2019-05-01 09:00:00
648882,648882,3488,2019-05-01 09:15:00-05,0.343,0.846,38,2019-05-01 09:15:00
648883,648883,3488,2019-05-01 09:30:00-05,0.447,0.662,39,2019-05-01 09:30:00
648884,648884,3488,2019-05-01 09:45:00-05,0.553,0.699,40,2019-05-01 09:45:00
648885,648885,3488,2019-05-01 10:00:00-05,0.776,0.759,41,2019-05-01 10:00:00
648886,648886,3488,2019-05-01 10:15:00-05,0.743,0.891,42,2019-05-01 10:15:00
648887,648887,3488,2019-05-01 10:30:00-05,0.816,1.81,43,2019-05-01 10:30:00
648888,648888,3488,2019-05-01 10:45:00-05,0.796,5.988,44,2019-05-01 10:45:00
648889,648889,3488,2019-05-01 11:00:00-05,0.975,5.114,45,2019-05-01 11:00:00
648890,648890,3488,2019-05-01 11:15:00-05,0.858,0.109,46,2019-05-01 11:15:00
648891,648891,3488,2019-05-01 11:30:00-05,1.066,0.247,47,2019-05-01 11:30:00
648892,648892,3488,2019-05-01 11:45:00-05,1.158,0.098,48,2019-05-01 11:45:00
648893,648893,3488,2019-05-01 12:00:00-05,1.281,-0.484,49,2019-05-01 12:00:00
648894,648894,3488,2019-05-01 12:15:00-05,1.66,-0.44,50,2019-05-01 12:15:00
648895,648895,3488,2019-05-01 12:30:00-05,2.274,-1.482,51,2019-05-01 12:30:00
648896,648896,3488,2019-05-01 12:45:00-05,2.638,-1.865,52,2019-05-01 12:45:00
648897,648897,3488,2019-05-01 13:00:00-05,1.948,-1.365,53,2019-05-01 13:00:00
648898,648898,3488,2019-05-01 13:15:00-05,1.906,-1.502,54,2019-05-01 13:15:00
648899,648899,3488,2019-05-01 13:30:00-05,2.122,-1.548,55,2019-05-01 13:30:00
648900,648900,3488,2019-05-01 13:45:00-05,2.001,-1.514,56,2019-05-01 13:45:00
648901,648901,3488,2019-05-01 14:00:00-05,1.931,-1.361,57,2019-05-01 14:00:00
648902,648902,3488,2019-05-01 14:15:00-05,1.6,0.133,58,2019-05-01 14:15:00
648903,648903,3488,2019-05-01 14:30:00-05,0.835,-0.168,59,2019-05-01 14:30:00
648904,648904,3488,2019-05-01 14:45:00-05,1.203,-0.598,60,2019-05-01 14:45:00
648905,648905,3488,2019-05-01 15:00:00-05,0.985,-0.42,61,2019-05-01 15:00:00
648906,648906,3488,2019-05-01 15:15:00-05,0.9,-0.421,62,2019-05-01 15:15:00
648907,648907,3488,2019-05-01 15:30:00-05,1.053,-0.516,63,2019-05-01 15:30:00
648908,648908,3488,2019-05-01 15:45:00-05,0.521,-0.053,64,2019-05-01 15:45:00
648909,648909,3488,2019-05-01 16:00:00-05,0.457,0.603,65,2019-05-01 16:00:00
648910,648910,3488,2019-05-01 16:15:00-05,0.365,0.536,66,2019-05-01 16:15:00
648911,648911,3488,2019-05-01 16:30:00-05,0.284,0.641,67,2019-05-01 16:30:00
648912,648912,3488,2019-05-01 16:45:00-05,0.276,0.786,68,2019-05-01 16:45:00
648913,648913,3488,2019-05-01 17:00:00-05,0.226,0.655,69,2019-05-01 17:00:00
648914,648914,3488,2019-05-01 17:15:00-05,0.146,0.803,70,2019-05-01 17:15:00
648915,648915,3488,2019-05-01 17:30:00-05,0.077,0.921,71,2019-05-01 17:30:00
648916,648916,3488,2019-05-01 17:45:00-05,0.059,3.882,72,2019-05-01 17:45:00
648917,648917,3488,2019-05-01 18:00:00-05,0.034,5.759,73,2019-05-01 18:00:00
648918,648918,3488,2019-05-01 18:15:00-05,0.019,5.143,74,2019-05-01 18:15:00
648919,648919,3488,2019-05-01 18:30:00-05,0.003,4.599,75,2019-05-01 18:30:00
648920,648920,3488,2019-05-01 18:45:00-05,-0.005,4.87,76,2019-05-01 18:45:00
648921,648921,3488,2019-05-01 19:00:00-05,-0.003,6.618,77,2019-05-01 19:00:00
648922,648922,3488,2019-05-01 19:15:00-05,-0.003,2.687,78,2019-05-01 19:15:00
648923,648923,3488,2019-05-01 19:30:00-05,-0.003,0.969,79,2019-05-01 19:30:00
648924,648924,3488,2019-05-01 19:45:00-05,-0.003,0.746,80,2019-05-01 19:45:00
648925,648925,3488,2019-05-01 20:00:00-05,-0.003,0.867,81,2019-05-01 20:00:00
648926,648926,3488,2019-05-01 20:15:00-05,-0.003,0.66,82,2019-05-01 20:15:00
648927,648927,3488,2019-05-01 20:30:00-05,-0.003,0.572,83,2019-05-01 20:30:00
648928,648928,3488,2019-05-01 20:45:00-05,-0.003,0.714,84,2019-05-01 20:45:00
648929,648929,3488,2019-05-01 21:00:00-05,-0.003,0.582,85,2019-05-01 21:00:00
648930,648930,3488,2019-05-01 21:15:00-05,-0.003,0.725,86,2019-05-01 21:15:00
648931,648931,3488,2019-05-01 21:30:00-05,-0.003,0.449,87,2019-05-01 21:30:00
648932,648932,3488,2019-05-01 21:45:00-05,-0.003,0.44,88,2019-05-01 21:45:00
648933,648933,3488,2019-05-01 22:00:00-05,-0.003,0.406,89,2019-05-01 22:00:00
648934,648934,3488,2019-05-01 22:15:00-05,-0.003,0.356,90,2019-05-01 22:15:00
648935,648935,3488,2019-05-01 22:30:00-05,-0.003,0.406,91,2019-05-01 22:30:00
648936,648936,3488,2019-05-01 22:45:00-05,-0.003,0.601,92,2019-05-01 22:45:00
648937,648937,3488,2019-05-01 23:00:00-05,-0.003,0.35,93,2019-05-01 23:00:00
648938,648938,3488,2019-05-01 23:15:00-05,-0.003,0.415,94,2019-05-01 23:15:00
648939,648939,3488,2019-05-01 23:30:00-05,-0.003,0.366,95,2019-05-01 23:30:00
648940,648940,3488,2019-05-01 23:45:00-05,-0.003,0.359,96,2019-05-01 23:45:00
648941,648941,3488,2019-05-02 00:00:00-05,-0.003,0.519,97,2019-05-02 00:00:00
648942,648942,3488,2019-05-02 00:15:00-05,-0.003,0.478,98,2019-05-02 00:15:00
648943,648943,3488,2019-05-02 00:30:00-05,-0.003,0.373,99,2019-05-02 00:30:00
648944,648944,3488,2019-05-02 00:45:00-05,-0.003,0.414,100,2019-05-02 00:45:00
648945,648945,3488,2019-05-02 01:00:00-05,-0.003,0.349,101,2019-05-02 01:00:00
648946,648946,3488,2019-05-02 01:15:00-05,-0.003,0.378,102,2019-05-02 01:15:00
648947,648947,3488,2019-05-02 01:30:00-05,-0.003,0.625,103,2019-05-02 01:30:00
648948,648948,3488,2019-05-02 01:45:00-05,-0.003,0.35,104,2019-05-02 01:45:00
648949,648949,3488,2019-05-02 02:00:00-05,-0.003,0.389,105,2019-05-02 02:00:00
648950,648950,3488,2019-05-02 02:15:00-05,-0.003,0.393,106,2019-05-02 02:15:00
648951,648951,3488,2019-05-02 02:30:00-05,-0.003,0.35,107,2019-05-02 02:30:00
648952,648952,3488,2019-05-02 02:45:00-05,-0.003,0.627,108,2019-05-02 02:45:00
648953,648953,3488,2019-05-02 03:00:00-05,-0.003,0.385,109,2019-05-02 03:00:00
648954,648954,3488,2019-05-02 03:15:00-05,-0.003,0.348,110,2019-05-02 03:15:00
648955,648955,3488,2019-05-02 03:30:00-05,-0.003,0.402,111,2019-05-02 03:30:00
648956,648956,3488,2019-05-02 03:45:00-05,-0.003,0.415,112,2019-05-02 03:45:00
648957,648957,3488,2019-05-02 04:00:00-05,-0.003,0.536,113,2019-05-02 04:00:00
648958,648958,3488,2019-05-02 04:15:00-05,-0.003,0.408,114,2019-05-02 04:15:00
648959,648959,3488,2019-05-02 04:30:00-05,-0.003,0.41,115,2019-05-02 04:30:00
648960,648960,3488,2019-05-02 04:45:00-05,-0.003,0.397,116,2019-05-02 04:45:00
648961,648961,3488,2019-05-02 05:00:00-05,-0.003,0.809,117,2019-05-02 05:00:00
648962,648962,3488,2019-05-02 05:15:00-05,0.0,0.474,118,2019-05-02 05:15:00
648963,648963,3488,2019-05-02 05:30:00-05,0.013,0.723,119,2019-05-02 05:30:00
648964,648964,3488,2019-05-02 05:45:00-05,0.042,0.76,120,2019-05-02 05:45:00
648965,648965,3488,2019-05-02 06:00:00-05,0.052,0.941,121,2019-05-02 06:00:00
648966,648966,3488,2019-05-02 06:15:00-05,0.086,0.655,122,2019-05-02 06:15:00
648967,648967,3488,2019-05-02 06:30:00-05,0.077,0.568,123,2019-05-02 06:30:00
