,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
842077,842077,3996,2019-05-01 00:00:00-05,,1.636,1,2019-05-01 00:00:00
842078,842078,3996,2019-05-01 00:15:00-05,,0.515,2,2019-05-01 00:15:00
842079,842079,3996,2019-05-01 00:30:00-05,,0.533,3,2019-05-01 00:30:00
842080,842080,3996,2019-05-01 00:45:00-05,,0.731,4,2019-05-01 00:45:00
842081,842081,3996,2019-05-01 01:00:00-05,,0.516,5,2019-05-01 01:00:00
842082,842082,3996,2019-05-01 01:15:00-05,,0.478,6,2019-05-01 01:15:00
842083,842083,3996,2019-05-01 01:30:00-05,,0.674,7,2019-05-01 01:30:00
842084,842084,3996,2019-05-01 01:45:00-05,,0.648,8,2019-05-01 01:45:00
842085,842085,3996,2019-05-01 02:00:00-05,,0.443,9,2019-05-01 02:00:00
842086,842086,3996,2019-05-01 02:15:00-05,,0.48,10,2019-05-01 02:15:00
842087,842087,3996,2019-05-01 02:30:00-05,,0.633,11,2019-05-01 02:30:00
842088,842088,3996,2019-05-01 02:45:00-05,,0.392,12,2019-05-01 02:45:00
842089,842089,3996,2019-05-01 03:00:00-05,,0.275,13,2019-05-01 03:00:00
842090,842090,3996,2019-05-01 03:15:00-05,,0.418,14,2019-05-01 03:15:00
842091,842091,3996,2019-05-01 03:30:00-05,,0.442,15,2019-05-01 03:30:00
842092,842092,3996,2019-05-01 03:45:00-05,,1.32,16,2019-05-01 03:45:00
842093,842093,3996,2019-05-01 04:00:00-05,,0.31,17,2019-05-01 04:00:00
842094,842094,3996,2019-05-01 04:15:00-05,,0.421,18,2019-05-01 04:15:00
842095,842095,3996,2019-05-01 04:30:00-05,,0.452,19,2019-05-01 04:30:00
842096,842096,3996,2019-05-01 04:45:00-05,,0.297,20,2019-05-01 04:45:00
842097,842097,3996,2019-05-01 05:00:00-05,,0.298,21,2019-05-01 05:00:00
842098,842098,3996,2019-05-01 05:15:00-05,,0.484,22,2019-05-01 05:15:00
842099,842099,3996,2019-05-01 05:30:00-05,,0.387,23,2019-05-01 05:30:00
842100,842100,3996,2019-05-01 05:45:00-05,,0.58,24,2019-05-01 05:45:00
842101,842101,3996,2019-05-01 06:00:00-05,,0.806,25,2019-05-01 06:00:00
842102,842102,3996,2019-05-01 06:15:00-05,,2.317,26,2019-05-01 06:15:00
842103,842103,3996,2019-05-01 06:30:00-05,,4.285,27,2019-05-01 06:30:00
842104,842104,3996,2019-05-01 06:45:00-05,,2.976,28,2019-05-01 06:45:00
842105,842105,3996,2019-05-01 07:00:00-05,,1.618,29,2019-05-01 07:00:00
842106,842106,3996,2019-05-01 07:15:00-05,,0.543,30,2019-05-01 07:15:00
842107,842107,3996,2019-05-01 07:30:00-05,,0.459,31,2019-05-01 07:30:00
842108,842108,3996,2019-05-01 07:45:00-05,,0.381,32,2019-05-01 07:45:00
842109,842109,3996,2019-05-01 08:00:00-05,,0.48,33,2019-05-01 08:00:00
842110,842110,3996,2019-05-01 08:15:00-05,,0.517,34,2019-05-01 08:15:00
842111,842111,3996,2019-05-01 08:30:00-05,,0.461,35,2019-05-01 08:30:00
842112,842112,3996,2019-05-01 08:45:00-05,,1.0,36,2019-05-01 08:45:00
842113,842113,3996,2019-05-01 09:00:00-05,,5.602,37,2019-05-01 09:00:00
842114,842114,3996,2019-05-01 09:15:00-05,,4.804,38,2019-05-01 09:15:00
842115,842115,3996,2019-05-01 09:30:00-05,,2.68,39,2019-05-01 09:30:00
842116,842116,3996,2019-05-01 09:45:00-05,,2.421,40,2019-05-01 09:45:00
842117,842117,3996,2019-05-01 10:00:00-05,,0.53,41,2019-05-01 10:00:00
842118,842118,3996,2019-05-01 10:15:00-05,,1.869,42,2019-05-01 10:15:00
842119,842119,3996,2019-05-01 10:30:00-05,,0.457,43,2019-05-01 10:30:00
842120,842120,3996,2019-05-01 10:45:00-05,,0.568,44,2019-05-01 10:45:00
842121,842121,3996,2019-05-01 11:00:00-05,,0.509,45,2019-05-01 11:00:00
842122,842122,3996,2019-05-01 11:15:00-05,,0.404,46,2019-05-01 11:15:00
842123,842123,3996,2019-05-01 11:30:00-05,,1.813,47,2019-05-01 11:30:00
842124,842124,3996,2019-05-01 11:45:00-05,,0.558,48,2019-05-01 11:45:00
842125,842125,3996,2019-05-01 12:00:00-05,,0.555,49,2019-05-01 12:00:00
842126,842126,3996,2019-05-01 12:15:00-05,,0.455,50,2019-05-01 12:15:00
842127,842127,3996,2019-05-01 12:30:00-05,,0.27,51,2019-05-01 12:30:00
842128,842128,3996,2019-05-01 12:45:00-05,,0.49,52,2019-05-01 12:45:00
842129,842129,3996,2019-05-01 13:00:00-05,,0.459,53,2019-05-01 13:00:00
842130,842130,3996,2019-05-01 13:15:00-05,,0.277,54,2019-05-01 13:15:00
842131,842131,3996,2019-05-01 13:30:00-05,,0.444,55,2019-05-01 13:30:00
842132,842132,3996,2019-05-01 13:45:00-05,,0.478,56,2019-05-01 13:45:00
842133,842133,3996,2019-05-01 14:00:00-05,,0.291,57,2019-05-01 14:00:00
842134,842134,3996,2019-05-01 14:15:00-05,,1.778,58,2019-05-01 14:15:00
842135,842135,3996,2019-05-01 14:30:00-05,,0.389,59,2019-05-01 14:30:00
842136,842136,3996,2019-05-01 14:45:00-05,,0.319,60,2019-05-01 14:45:00
842137,842137,3996,2019-05-01 15:00:00-05,,0.472,61,2019-05-01 15:00:00
842138,842138,3996,2019-05-01 15:15:00-05,,0.41,62,2019-05-01 15:15:00
842139,842139,3996,2019-05-01 15:30:00-05,,0.775,63,2019-05-01 15:30:00
842140,842140,3996,2019-05-01 15:45:00-05,,0.471,64,2019-05-01 15:45:00
842141,842141,3996,2019-05-01 16:00:00-05,,0.361,65,2019-05-01 16:00:00
842142,842142,3996,2019-05-01 16:15:00-05,,0.409,66,2019-05-01 16:15:00
842143,842143,3996,2019-05-01 16:30:00-05,,0.506,67,2019-05-01 16:30:00
842144,842144,3996,2019-05-01 16:45:00-05,,0.56,68,2019-05-01 16:45:00
842145,842145,3996,2019-05-01 17:00:00-05,,0.591,69,2019-05-01 17:00:00
842146,842146,3996,2019-05-01 17:15:00-05,,0.34,70,2019-05-01 17:15:00
842147,842147,3996,2019-05-01 17:30:00-05,,0.431,71,2019-05-01 17:30:00
842148,842148,3996,2019-05-01 17:45:00-05,,0.381,72,2019-05-01 17:45:00
842149,842149,3996,2019-05-01 18:00:00-05,,0.368,73,2019-05-01 18:00:00
842150,842150,3996,2019-05-01 18:15:00-05,,0.965,74,2019-05-01 18:15:00
842151,842151,3996,2019-05-01 18:30:00-05,,1.703,75,2019-05-01 18:30:00
842152,842152,3996,2019-05-01 18:45:00-05,,0.501,76,2019-05-01 18:45:00
842153,842153,3996,2019-05-01 19:00:00-05,,0.512,77,2019-05-01 19:00:00
842154,842154,3996,2019-05-01 19:15:00-05,,0.544,78,2019-05-01 19:15:00
842155,842155,3996,2019-05-01 19:30:00-05,,0.486,79,2019-05-01 19:30:00
842156,842156,3996,2019-05-01 19:45:00-05,,0.508,80,2019-05-01 19:45:00
842157,842157,3996,2019-05-01 20:00:00-05,,0.686,81,2019-05-01 20:00:00
842158,842158,3996,2019-05-01 20:15:00-05,,0.521,82,2019-05-01 20:15:00
842159,842159,3996,2019-05-01 20:30:00-05,,0.491,83,2019-05-01 20:30:00
842160,842160,3996,2019-05-01 20:45:00-05,,0.464,84,2019-05-01 20:45:00
842161,842161,3996,2019-05-01 21:00:00-05,,0.453,85,2019-05-01 21:00:00
842162,842162,3996,2019-05-01 21:15:00-05,,0.624,86,2019-05-01 21:15:00
842163,842163,3996,2019-05-01 21:30:00-05,,0.559,87,2019-05-01 21:30:00
842164,842164,3996,2019-05-01 21:45:00-05,,0.454,88,2019-05-01 21:45:00
842165,842165,3996,2019-05-01 22:00:00-05,,0.501,89,2019-05-01 22:00:00
842166,842166,3996,2019-05-01 22:15:00-05,,0.387,90,2019-05-01 22:15:00
842167,842167,3996,2019-05-01 22:30:00-05,,0.525,91,2019-05-01 22:30:00
842168,842168,3996,2019-05-01 22:45:00-05,,0.536,92,2019-05-01 22:45:00
842169,842169,3996,2019-05-01 23:00:00-05,,1.645,93,2019-05-01 23:00:00
842170,842170,3996,2019-05-01 23:15:00-05,,0.368,94,2019-05-01 23:15:00
842171,842171,3996,2019-05-01 23:30:00-05,,0.358,95,2019-05-01 23:30:00
842172,842172,3996,2019-05-01 23:45:00-05,,0.384,96,2019-05-01 23:45:00
842173,842173,3996,2019-05-02 00:00:00-05,,0.505,97,2019-05-02 00:00:00
842174,842174,3996,2019-05-02 00:15:00-05,,0.428,98,2019-05-02 00:15:00
842175,842175,3996,2019-05-02 00:30:00-05,,0.343,99,2019-05-02 00:30:00
842176,842176,3996,2019-05-02 00:45:00-05,,0.38,100,2019-05-02 00:45:00
842177,842177,3996,2019-05-02 01:00:00-05,,2.326,101,2019-05-02 01:00:00
842178,842178,3996,2019-05-02 01:15:00-05,,0.872,102,2019-05-02 01:15:00
842179,842179,3996,2019-05-02 01:30:00-05,,0.585,103,2019-05-02 01:30:00
842180,842180,3996,2019-05-02 01:45:00-05,,0.447,104,2019-05-02 01:45:00
842181,842181,3996,2019-05-02 02:00:00-05,,0.815,105,2019-05-02 02:00:00
842182,842182,3996,2019-05-02 02:15:00-05,,1.82,106,2019-05-02 02:15:00
842183,842183,3996,2019-05-02 02:30:00-05,,0.45,107,2019-05-02 02:30:00
842184,842184,3996,2019-05-02 02:45:00-05,,0.473,108,2019-05-02 02:45:00
842185,842185,3996,2019-05-02 03:00:00-05,,0.299,109,2019-05-02 03:00:00
842186,842186,3996,2019-05-02 03:15:00-05,,0.325,110,2019-05-02 03:15:00
842187,842187,3996,2019-05-02 03:30:00-05,,0.44,111,2019-05-02 03:30:00
842188,842188,3996,2019-05-02 03:45:00-05,,0.453,112,2019-05-02 03:45:00
842189,842189,3996,2019-05-02 04:00:00-05,,0.378,113,2019-05-02 04:00:00
842190,842190,3996,2019-05-02 04:15:00-05,,0.334,114,2019-05-02 04:15:00
842191,842191,3996,2019-05-02 04:30:00-05,,0.512,115,2019-05-02 04:30:00
842192,842192,3996,2019-05-02 04:45:00-05,,0.328,116,2019-05-02 04:45:00
842193,842193,3996,2019-05-02 05:00:00-05,,0.304,117,2019-05-02 05:00:00
842194,842194,3996,2019-05-02 05:15:00-05,,0.541,118,2019-05-02 05:15:00
842195,842195,3996,2019-05-02 05:30:00-05,,0.314,119,2019-05-02 05:30:00
842196,842196,3996,2019-05-02 05:45:00-05,,0.302,120,2019-05-02 05:45:00
842197,842197,3996,2019-05-02 06:00:00-05,,0.778,121,2019-05-02 06:00:00
842198,842198,3996,2019-05-02 06:15:00-05,,0.428,122,2019-05-02 06:15:00
842199,842199,3996,2019-05-02 06:30:00-05,,3.79,123,2019-05-02 06:30:00
842200,842200,3996,2019-05-02 06:45:00-05,,0.586,124,2019-05-02 06:45:00
842201,842201,3996,2019-05-02 07:00:00-05,,0.469,125,2019-05-02 07:00:00
