,dataid,local_15min,solar_total,grid,sequence
1621229,27,2019-05-01 05:00:00,-0.003,0.997,1
1621238,27,2019-05-01 05:15:00,-0.003,0.75,2
1621214,27,2019-05-01 05:30:00,-0.003,0.608,3
1621213,27,2019-05-01 05:45:00,-0.003,1.057,4
1621344,27,2019-05-01 06:00:00,-0.003,0.518,5
1621259,27,2019-05-01 06:15:00,-0.003,1.163,6
1621258,27,2019-05-01 06:30:00,-0.003,0.591,7
1621257,27,2019-05-01 06:45:00,-0.003,1.155,8
1621414,27,2019-05-01 07:00:00,-0.003,0.84,9
1621413,27,2019-05-01 07:15:00,-0.003,0.697,10
1621412,27,2019-05-01 07:30:00,-0.003,1.049,11
1621411,27,2019-05-01 07:45:00,-0.003,0.514,12
1621488,27,2019-05-01 08:00:00,-0.003,1.145,13
1621487,27,2019-05-01 08:15:00,-0.003,0.534,14
1621486,27,2019-05-01 08:30:00,-0.003,1.047,15
1621485,27,2019-05-01 08:45:00,-0.003,0.695,16
1621576,27,2019-05-01 09:00:00,-0.003,0.985,17
1621563,27,2019-05-01 09:15:00,-0.003,0.818,18
1621562,27,2019-05-01 09:30:00,-0.003,1.001,19
1621561,27,2019-05-01 09:45:00,-0.003,0.98,20
1621702,27,2019-05-01 10:00:00,-0.002,1.032,21
1621671,27,2019-05-01 10:15:00,0.0,0.944,22
1621670,27,2019-05-01 10:30:00,0.0,1.732,23
1621669,27,2019-05-01 10:45:00,0.035,1.581,24
1621791,27,2019-05-01 11:00:00,0.108,1.292,25
1621790,27,2019-05-01 11:15:00,0.095,1.436,26
1621789,27,2019-05-01 11:30:00,0.158,1.273,27
1621788,27,2019-05-01 11:45:00,0.291,1.55,28
1621914,27,2019-05-01 12:00:00,0.453,0.812,29
1621875,27,2019-05-01 12:15:00,0.66,0.835,30
1621874,27,2019-05-01 12:30:00,0.934,0.0,31
1621873,27,2019-05-01 12:45:00,1.211,0.296,32
1622028,27,2019-05-01 13:00:00,1.307,-0.413,33
1621959,27,2019-05-01 13:15:00,1.502,-0.475,34
1621958,27,2019-05-01 13:30:00,1.931,-1.452,35
1621957,27,2019-05-01 13:45:00,2.283,-1.24,36
1622128,27,2019-05-01 14:00:00,1.976,-1.421,37
1622127,27,2019-05-01 14:15:00,2.289,-1.326,38
1622102,27,2019-05-01 14:30:00,2.605,-2.102,39
1622101,27,2019-05-01 14:45:00,2.634,-1.701,40
1622252,27,2019-05-01 15:00:00,2.76,-2.053,41
1622239,27,2019-05-01 15:15:00,2.527,-1.738,42
1622238,27,2019-05-01 15:30:00,3.843,-3.207,43
1622237,27,2019-05-01 15:45:00,4.12,-3.52,44
1622332,27,2019-05-01 16:00:00,4.379,-3.698,45
1622287,27,2019-05-01 16:15:00,3.297,-2.788,46
1622286,27,2019-05-01 16:30:00,4.616,-3.858,47
1622285,27,2019-05-01 16:45:00,5.439,-4.877,48
1622448,27,2019-05-01 17:00:00,6.234,-5.817,49
1622435,27,2019-05-01 17:15:00,8.296,-7.656,50
1622434,27,2019-05-01 17:30:00,10.355,-9.957,51
1622433,27,2019-05-01 17:45:00,11.144,-10.6,52
1622544,27,2019-05-01 18:00:00,11.145,-10.582,53
1622479,27,2019-05-01 18:15:00,10.631,-10.129,54
1622478,27,2019-05-01 18:30:00,9.625,-9.17,55
1622477,27,2019-05-01 18:45:00,6.18,-5.751,56
1622595,27,2019-05-01 19:00:00,9.156,-7.786,57
1622594,27,2019-05-01 19:15:00,8.887,-5.065,58
1622558,27,2019-05-01 19:30:00,7.082,-3.296,59
1622557,27,2019-05-01 19:45:00,3.976,-0.244,60
1622703,27,2019-05-01 20:00:00,4.543,-1.53,61
1622679,27,2019-05-01 20:15:00,4.303,-3.248,62
1622678,27,2019-05-01 20:30:00,3.938,-3.646,63
1622677,27,2019-05-01 20:45:00,3.398,-2.949,64
1622839,27,2019-05-01 21:00:00,2.502,-2.135,65
1622838,27,2019-05-01 21:15:00,1.929,-1.552,66
1622837,27,2019-05-01 21:30:00,1.712,-1.427,67
1622836,27,2019-05-01 21:45:00,1.402,-1.029,68
1622866,27,2019-05-01 22:00:00,1.123,-0.762,69
1622865,27,2019-05-01 22:15:00,0.797,-0.314,70
1622864,27,2019-05-01 22:30:00,0.557,-0.13,71
1622863,27,2019-05-01 22:45:00,0.281,0.252,72
1622988,27,2019-05-01 23:00:00,0.195,0.717,73
1622987,27,2019-05-01 23:15:00,0.088,0.552,74
1622986,27,2019-05-01 23:30:00,0.027,0.608,75
1622985,27,2019-05-01 23:45:00,-0.005,1.246,76
1623062,27,2019-05-02 00:00:00,-0.003,0.697,77
1623132,27,2019-05-02 00:15:00,-0.003,1.001,78
1623131,27,2019-05-02 00:30:00,-0.003,0.677,79
1623057,27,2019-05-02 00:45:00,-0.003,1.143,80
1623203,27,2019-05-02 01:00:00,-0.003,0.701,81
1623202,27,2019-05-02 01:15:00,-0.003,1.02,82
1623201,27,2019-05-02 01:30:00,-0.003,0.548,83
1623200,27,2019-05-02 01:45:00,-0.003,1.109,84
1623270,27,2019-05-02 02:00:00,-0.003,0.532,85
1623269,27,2019-05-02 02:15:00,-0.003,0.996,86
1623268,27,2019-05-02 02:30:00,-0.003,0.557,87
1623267,27,2019-05-02 02:45:00,-0.003,1.052,88
1623376,27,2019-05-02 03:00:00,-0.003,0.561,89
1623367,27,2019-05-02 03:15:00,-0.003,0.596,90
1623366,27,2019-05-02 03:30:00,-0.003,0.284,91
1623365,27,2019-05-02 03:45:00,-0.003,0.394,92
1623491,27,2019-05-02 04:00:00,-0.003,0.356,93
1623490,27,2019-05-02 04:15:00,-0.003,0.219,94
1623489,27,2019-05-02 04:30:00,-0.003,0.605,95
1623488,27,2019-05-02 04:45:00,-0.003,0.304,96
1623600,27,2019-05-02 05:00:00,-0.003,0.3,97
1623599,27,2019-05-02 05:15:00,-0.003,0.275,98
1623598,27,2019-05-02 05:30:00,-0.003,0.296,99
1623597,27,2019-05-02 05:45:00,-0.003,0.836,100
1623710,27,2019-05-02 06:00:00,-0.003,0.248,101
1623709,27,2019-05-02 06:15:00,-0.003,0.269,102
1623674,27,2019-05-02 06:30:00,-0.003,0.753,103
1623673,27,2019-05-02 06:45:00,-0.003,0.374,104
1623844,27,2019-05-02 07:00:00,-0.003,0.249,105
1623843,27,2019-05-02 07:15:00,-0.003,0.374,106
1623766,27,2019-05-02 07:30:00,-0.003,0.609,107
1623765,27,2019-05-02 07:45:00,-0.003,0.709,108
1623952,27,2019-05-02 08:00:00,-0.003,1.145,109
1623931,27,2019-05-02 08:15:00,-0.003,0.669,110
1623930,27,2019-05-02 08:30:00,-0.003,0.88,111
1623929,27,2019-05-02 08:45:00,-0.003,1.112,112
1624014,27,2019-05-02 09:00:00,-0.003,0.538,113
1624013,27,2019-05-02 09:15:00,-0.003,0.383,114
1624012,27,2019-05-02 09:30:00,-0.003,0.882,115
1624011,27,2019-05-02 09:45:00,-0.003,0.346,116
1621156,27,2019-05-02 10:00:00,-0.002,0.382,117
1621155,27,2019-05-02 10:15:00,0.025,1.185,118
1621154,27,2019-05-02 10:30:00,0.122,0.752,119
1624073,27,2019-05-02 10:45:00,0.188,0.886,120
1624209,27,2019-05-02 11:00:00,0.315,0.797,121
1624208,27,2019-05-02 11:15:00,0.514,0.351,122
1624207,27,2019-05-02 11:30:00,0.633,0.031,123
1624206,27,2019-05-02 11:45:00,0.581,0.656,124
1624293,27,2019-05-02 12:00:00,0.865,-0.213,125
1624292,27,2019-05-02 12:15:00,0.911,-0.265,126
1624291,27,2019-05-02 12:30:00,0.692,0.252,127
1624290,27,2019-05-02 12:45:00,0.973,-0.618,128
1624445,27,2019-05-02 13:00:00,0.847,-0.496,129
1624444,27,2019-05-02 13:15:00,1.05,-0.305,130
1624443,27,2019-05-02 13:30:00,0.808,-0.375,131
1624442,27,2019-05-02 13:45:00,1.064,-0.73,132
1624457,27,2019-05-02 14:00:00,1.523,-1.118,133
1624456,27,2019-05-02 14:15:00,1.538,-1.154,134
1624455,27,2019-05-02 14:30:00,1.414,-0.629,135
1624454,27,2019-05-02 14:45:00,1.321,-1.015,136
1624625,27,2019-05-02 15:00:00,2.664,-2.363,137
1624624,27,2019-05-02 15:15:00,2.485,-2.121,138
1624623,27,2019-05-02 15:30:00,3.366,-2.586,139
1624622,27,2019-05-02 15:45:00,3.45,-3.057,140
1624696,27,2019-05-02 16:00:00,3.711,-3.363,141
1624695,27,2019-05-02 16:15:00,2.733,-2.471,142
1624694,27,2019-05-02 16:30:00,3.292,-2.884,143
1624693,27,2019-05-02 16:45:00,5.312,-4.394,144
1624822,27,2019-05-02 17:00:00,6.122,-5.747,145
1624821,27,2019-05-02 17:15:00,7.453,-4.135,146
1624759,27,2019-05-02 17:30:00,9.695,-5.972,147
1624758,27,2019-05-02 17:45:00,9.924,-6.187,148
1624921,27,2019-05-02 18:00:00,8.138,-4.431,149
1624920,27,2019-05-02 18:15:00,6.361,-2.655,150
1624919,27,2019-05-02 18:30:00,9.797,-6.024,151
1624918,27,2019-05-02 18:45:00,9.624,-5.727,152
1625041,27,2019-05-02 19:00:00,9.272,-5.459,153
1625040,27,2019-05-02 19:15:00,8.987,-7.114,154
1625011,27,2019-05-02 19:30:00,8.626,-8.256,155
1625010,27,2019-05-02 19:45:00,8.204,-7.807,156
1625073,27,2019-05-02 20:00:00,7.746,-7.388,157
1625072,27,2019-05-02 20:15:00,7.242,-6.918,158
1625071,27,2019-05-02 20:30:00,6.668,-6.264,159
1625070,27,2019-05-02 20:45:00,6.047,-5.576,160
1625233,27,2019-05-02 21:00:00,5.427,-4.807,161
1625232,27,2019-05-02 21:15:00,4.728,-4.336,162
1625231,27,2019-05-02 21:30:00,4.058,-3.559,163
1625230,27,2019-05-02 21:45:00,3.332,-2.87,164
1625277,27,2019-05-02 22:00:00,2.645,-2.193,165
1625272,27,2019-05-02 22:15:00,1.756,-1.446,166
1625271,27,2019-05-02 22:30:00,1.225,-0.943,167
1625270,27,2019-05-02 22:45:00,0.795,-0.493,168
1625377,27,2019-05-02 23:00:00,0.614,0.024,169
1625368,27,2019-05-02 23:15:00,0.393,0.08,170
1625367,27,2019-05-02 23:30:00,0.223,0.129,171
1625366,27,2019-05-02 23:45:00,0.054,0.393,172
1625505,27,2019-05-03 00:00:00,-0.007,0.553,173
1625488,27,2019-05-03 00:15:00,-0.003,0.561,174
1625487,27,2019-05-03 00:30:00,-0.003,0.483,175
1625486,27,2019-05-03 00:45:00,-0.003,0.769,176
1625568,27,2019-05-03 01:00:00,-0.003,0.86,177
1625567,27,2019-05-03 01:15:00,-0.003,0.782,178
1625566,27,2019-05-03 01:30:00,-0.003,0.72,179
1625565,27,2019-05-03 01:45:00,-0.003,0.739,180
1625651,27,2019-05-03 02:00:00,-0.003,0.902,181
1625634,27,2019-05-03 02:15:00,-0.003,0.889,182
1625693,27,2019-05-03 02:30:00,-0.003,0.741,183
1625692,27,2019-05-03 02:45:00,-0.003,0.83,184
1625829,27,2019-05-03 03:00:00,-0.003,0.749,185
1625764,27,2019-05-03 03:15:00,-0.003,0.703,186
1625763,27,2019-05-03 03:30:00,-0.003,0.224,187
1625762,27,2019-05-03 03:45:00,-0.003,0.233,188
1625877,27,2019-05-03 04:00:00,-0.003,0.355,189
1625876,27,2019-05-03 04:15:00,-0.003,0.409,190
1625875,27,2019-05-03 04:30:00,-0.003,0.294,191
1625874,27,2019-05-03 04:45:00,-0.003,0.26,192
1626037,27,2019-05-03 05:00:00,-0.003,0.352,193
1625980,27,2019-05-03 05:15:00,-0.003,0.355,194
1625979,27,2019-05-03 05:30:00,-0.003,0.265,195
1625978,27,2019-05-03 05:45:00,-0.003,0.219,196
1626089,27,2019-05-03 06:00:00,-0.003,0.304,197
1626088,27,2019-05-03 06:15:00,-0.003,0.342,198
1626087,27,2019-05-03 06:30:00,-0.004,0.336,199
1626086,27,2019-05-03 06:45:00,-0.003,0.301,200
1626172,27,2019-05-03 07:00:00,-0.003,0.304,201
1626171,27,2019-05-03 07:15:00,-0.003,0.304,202
1626170,27,2019-05-03 07:30:00,-0.003,0.285,203
1626169,27,2019-05-03 07:45:00,-0.003,0.292,204
1626261,27,2019-05-03 08:00:00,-0.003,0.361,205
1626260,27,2019-05-03 08:15:00,-0.003,0.311,206
1626259,27,2019-05-03 08:30:00,-0.003,0.225,207
1626258,27,2019-05-03 08:45:00,-0.003,0.358,208
1626377,27,2019-05-03 09:00:00,-0.003,0.406,209
1626376,27,2019-05-03 09:15:00,-0.003,0.291,210
1626375,27,2019-05-03 09:30:00,-0.003,0.221,211
1626374,27,2019-05-03 09:45:00,-0.003,0.233,212
1626513,27,2019-05-03 10:00:00,-0.002,0.339,213
1626512,27,2019-05-03 10:15:00,0.008,0.324,214
1626511,27,2019-05-03 10:30:00,0.104,0.181,215
1626510,27,2019-05-03 10:45:00,0.187,0.14,216
1626629,27,2019-05-03 11:00:00,0.204,0.216,217
1626556,27,2019-05-03 11:15:00,0.232,0.286,218
1626555,27,2019-05-03 11:30:00,0.28,0.153,219
1626554,27,2019-05-03 11:45:00,0.63,-0.31,220
1626694,27,2019-05-03 12:00:00,1.088,-0.737,221
1626693,27,2019-05-03 12:15:00,0.965,-0.578,222
1626692,27,2019-05-03 12:30:00,1.231,-0.948,223
1626691,27,2019-05-03 12:45:00,1.385,-1.103,224
1626805,27,2019-05-03 13:00:00,1.033,-0.684,225
1626796,27,2019-05-03 13:15:00,1.201,-0.878,226
1626795,27,2019-05-03 13:30:00,1.681,-1.381,227
1626794,27,2019-05-03 13:45:00,2.222,-1.786,228
1626923,27,2019-05-03 14:00:00,4.384,-3.825,229
1626864,27,2019-05-03 14:15:00,6.329,-5.877,230
1626863,27,2019-05-03 14:30:00,5.76,-5.423,231
1626862,27,2019-05-03 14:45:00,6.135,-5.799,232
1627001,27,2019-05-03 15:00:00,3.638,-3.19,233
1626964,27,2019-05-03 15:15:00,4.315,-3.9,234
1626963,27,2019-05-03 15:30:00,2.745,-2.366,235
1626962,27,2019-05-03 15:45:00,2.702,-2.364,236
1627137,27,2019-05-03 16:00:00,3.775,-3.492,237
1627136,27,2019-05-03 16:15:00,6.83,-6.418,238
1627135,27,2019-05-03 16:30:00,4.158,-3.741,239
1627134,27,2019-05-03 16:45:00,0.958,-0.603,240
1627225,27,2019-05-03 17:00:00,0.516,-0.051,241
1627224,27,2019-05-03 17:15:00,2.399,-2.028,242
1627223,27,2019-05-03 17:30:00,1.568,-1.301,243
1627222,27,2019-05-03 17:45:00,0.581,-0.304,244
1627301,27,2019-05-03 18:00:00,0.149,0.193,245
1627300,27,2019-05-03 18:15:00,0.138,0.202,246
1627299,27,2019-05-03 18:30:00,0.936,-0.499,247
1627298,27,2019-05-03 18:45:00,1.836,-1.273,248
1627424,27,2019-05-03 19:00:00,1.951,-1.584,249
1627423,27,2019-05-03 19:15:00,0.86,-0.536,250
1627422,27,2019-05-03 19:30:00,0.28,0.119,251
1627421,27,2019-05-03 19:45:00,0.107,0.262,252
1621160,27,2019-05-03 20:00:00,0.188,0.161,253
1621159,27,2019-05-03 20:15:00,0.014,0.411,254
1621158,27,2019-05-03 20:30:00,0.05,1.012,255
1627445,27,2019-05-03 20:45:00,0.841,0.263,256
1627557,27,2019-05-03 21:00:00,2.376,-1.221,257
1627552,27,2019-05-03 21:15:00,1.172,-0.42,258
1627551,27,2019-05-03 21:30:00,0.542,0.37,259
1627550,27,2019-05-03 21:45:00,0.553,0.622,260
1627665,27,2019-05-03 22:00:00,0.153,0.933,261
1627664,27,2019-05-03 22:15:00,0.305,0.679,262
1627663,27,2019-05-03 22:30:00,0.209,0.809,263
1627662,27,2019-05-03 22:45:00,0.138,0.55,264
1627807,27,2019-05-03 23:00:00,0.247,0.494,265
1627802,27,2019-05-03 23:15:00,0.122,0.375,266
1627801,27,2019-05-03 23:30:00,0.0,0.587,267
1627800,27,2019-05-03 23:45:00,-0.002,1.187,268
1627859,27,2019-05-04 00:00:00,-0.003,1.118,269
1627858,27,2019-05-04 00:15:00,-0.003,0.621,270
1627857,27,2019-05-04 00:30:00,-0.003,0.755,271
1627856,27,2019-05-04 00:45:00,-0.003,0.747,272
1628051,27,2019-05-04 01:00:00,-0.003,0.644,273
1628030,27,2019-05-04 01:15:00,-0.003,0.647,274
1628029,27,2019-05-04 01:30:00,-0.003,0.836,275
1628028,27,2019-05-04 01:45:00,-0.003,0.78,276
1628151,27,2019-05-04 02:00:00,-0.003,0.619,277
1628074,27,2019-05-04 02:15:00,-0.003,0.575,278
1628073,27,2019-05-04 02:30:00,-0.003,0.666,279
1628072,27,2019-05-04 02:45:00,-0.003,0.477,280
1627533,27,2019-05-04 03:00:00,-0.003,0.331,281
1627532,27,2019-05-04 03:15:00,-0.003,0.331,282
1628188,27,2019-05-04 03:30:00,-0.003,0.316,283
1628168,27,2019-05-04 03:45:00,-0.003,0.316,284
1628334,27,2019-05-04 04:00:00,-0.003,0.231,285
1628298,27,2019-05-04 04:15:00,-0.003,0.277,286
1628297,27,2019-05-04 04:30:00,-0.003,0.361,287
1628296,27,2019-05-04 04:45:00,-0.003,0.376,288
1628421,27,2019-05-04 05:00:00,-0.003,0.408,289
1628388,27,2019-05-04 05:15:00,-0.003,0.311,290
1628387,27,2019-05-04 05:30:00,-0.004,0.359,291
1628386,27,2019-05-04 05:45:00,-0.003,0.364,292
1627564,27,2019-05-04 06:00:00,-0.003,0.266,293
1628420,27,2019-05-04 06:15:00,-0.003,0.209,294
1628419,27,2019-05-04 06:30:00,-0.003,0.303,295
1628457,27,2019-05-04 06:45:00,-0.003,0.413,296
1628588,27,2019-05-04 07:00:00,-0.003,0.29,297
1628583,27,2019-05-04 07:15:00,-0.003,0.209,298
1628582,27,2019-05-04 07:30:00,-0.003,0.303,299
1628581,27,2019-05-04 07:45:00,-0.003,0.313,300
1628741,27,2019-05-04 08:00:00,-0.003,0.218,301
1628724,27,2019-05-04 08:15:00,-0.003,0.2,302
1628723,27,2019-05-04 08:30:00,-0.003,0.32,303
1628722,27,2019-05-04 08:45:00,-0.003,0.437,304
1628845,27,2019-05-04 09:00:00,-0.003,0.268,305
1628800,27,2019-05-04 09:15:00,-0.003,0.199,306
1628799,27,2019-05-04 09:30:00,-0.003,0.312,307
1628798,27,2019-05-04 09:45:00,-0.003,0.397,308
1628893,27,2019-05-04 10:00:00,-0.003,0.363,309
1628856,27,2019-05-04 10:15:00,-0.001,0.359,310
1628855,27,2019-05-04 10:30:00,0.012,0.946,311
1628854,27,2019-05-04 10:45:00,0.093,0.92,312
1628993,27,2019-05-04 11:00:00,0.25,2.234,313
1628992,27,2019-05-04 11:15:00,0.296,0.96,314
1628947,27,2019-05-04 11:30:00,0.329,1.361,315
1628946,27,2019-05-04 11:45:00,0.512,0.768,316
1629121,27,2019-05-04 12:00:00,0.701,0.768,317
1629097,27,2019-05-04 12:15:00,0.667,0.73,318
1629096,27,2019-05-04 12:30:00,0.725,0.525,319
1629095,27,2019-05-04 12:45:00,0.837,0.621,320
1629169,27,2019-05-04 13:00:00,1.146,0.162,321
1629168,27,2019-05-04 13:15:00,0.95,0.529,322
1629167,27,2019-05-04 13:30:00,0.878,0.019,323
1629166,27,2019-05-04 13:45:00,1.098,-0.02,324
1629293,27,2019-05-04 14:00:00,1.592,-0.973,325
1629292,27,2019-05-04 14:15:00,1.835,-0.978,326
1629291,27,2019-05-04 14:30:00,2.206,-1.506,327
1629290,27,2019-05-04 14:45:00,2.263,-1.543,328
1629445,27,2019-05-04 15:00:00,1.905,-1.074,329
1629444,27,2019-05-04 15:15:00,2.308,-1.683,330
1629381,27,2019-05-04 15:30:00,2.406,-1.476,331
1629380,27,2019-05-04 15:45:00,4.17,-3.633,332
1629465,27,2019-05-04 16:00:00,5.644,-4.862,333
1629464,27,2019-05-04 16:15:00,6.565,-5.956,334
1629463,27,2019-05-04 16:30:00,5.266,-4.651,335
1629462,27,2019-05-04 16:45:00,2.964,-2.228,336
1629553,27,2019-05-04 17:00:00,5.497,-4.973,337
1629552,27,2019-05-04 17:15:00,3.529,-2.921,338
1629551,27,2019-05-04 17:30:00,2.948,-2.568,339
1629550,27,2019-05-04 17:45:00,4.116,-3.416,340
1629723,27,2019-05-04 18:00:00,4.484,-4.196,341
1629659,27,2019-05-04 18:15:00,4.192,-3.579,342
1629658,27,2019-05-04 18:30:00,3.582,-2.131,343
1629657,27,2019-05-04 18:45:00,2.084,1.866,344
1629793,27,2019-05-04 19:00:00,2.176,2.003,345
1629792,27,2019-05-04 19:15:00,2.016,1.975,346
1629791,27,2019-05-04 19:30:00,1.974,2.029,347
1629790,27,2019-05-04 19:45:00,2.081,2.005,348
1629925,27,2019-05-04 20:00:00,2.881,0.972,349
1629884,27,2019-05-04 20:15:00,4.327,-0.224,350
1629883,27,2019-05-04 20:30:00,5.157,-1.309,351
1629882,27,2019-05-04 20:45:00,1.497,2.177,352
1630017,27,2019-05-04 21:00:00,1.451,-0.093,353
1629952,27,2019-05-04 21:15:00,1.702,-0.899,354
1629951,27,2019-05-04 21:30:00,1.406,-0.896,355
1629950,27,2019-05-04 21:45:00,1.216,-0.344,356
1630097,27,2019-05-04 22:00:00,1.217,-0.739,357
1630084,27,2019-05-04 22:15:00,0.967,-0.159,358
1630083,27,2019-05-04 22:30:00,0.678,-0.027,359
1630082,27,2019-05-04 22:45:00,0.817,-0.13,360
1630201,27,2019-05-04 23:00:00,0.322,0.228,361
1630172,27,2019-05-04 23:15:00,0.224,0.76,362
1630171,27,2019-05-04 23:30:00,0.034,0.528,363
1630170,27,2019-05-04 23:45:00,-0.004,0.941,364
1630249,27,2019-05-05 00:00:00,-0.002,0.768,365
1630248,27,2019-05-05 00:15:00,-0.003,1.333,366
1630247,27,2019-05-05 00:30:00,-0.003,0.887,367
1630246,27,2019-05-05 00:45:00,-0.003,0.62,368
1630393,27,2019-05-05 01:00:00,-0.003,1.124,369
1630392,27,2019-05-05 01:15:00,-0.003,0.806,370
1630391,27,2019-05-05 01:30:00,-0.003,0.838,371
1630390,27,2019-05-05 01:45:00,-0.003,0.583,372
1630465,27,2019-05-05 02:00:00,-0.003,1.58,373
1630464,27,2019-05-05 02:15:00,-0.003,1.849,374
1630463,27,2019-05-05 02:30:00,-0.003,1.449,375
1630462,27,2019-05-05 02:45:00,-0.003,0.782,376
1630625,27,2019-05-05 03:00:00,-0.003,2.082,377
1630624,27,2019-05-05 03:15:00,-0.003,1.291,378
1630623,27,2019-05-05 03:30:00,-0.003,1.14,379
1630622,27,2019-05-05 03:45:00,-0.003,0.811,380
1630669,27,2019-05-05 04:00:00,-0.003,0.592,381
1630668,27,2019-05-05 04:15:00,-0.003,1.059,382
1630667,27,2019-05-05 04:30:00,-0.003,0.969,383
1630666,27,2019-05-05 04:45:00,-0.003,0.665,384
1630845,27,2019-05-05 05:00:00,-0.003,0.544,385
1630796,27,2019-05-05 05:15:00,-0.003,0.503,386
1630795,27,2019-05-05 05:30:00,-0.003,0.781,387
1630794,27,2019-05-05 05:45:00,-0.003,0.368,388
1630881,27,2019-05-05 06:00:00,-0.003,0.901,389
1630880,27,2019-05-05 06:15:00,-0.003,0.369,390
1630879,27,2019-05-05 06:30:00,-0.003,0.658,391
1630878,27,2019-05-05 06:45:00,-0.003,0.6,392
1631009,27,2019-05-05 07:00:00,-0.003,0.44,393
1630988,27,2019-05-05 07:15:00,-0.003,0.808,394
1630987,27,2019-05-05 07:30:00,-0.003,0.463,395
1630986,27,2019-05-05 07:45:00,-0.003,0.874,396
1631116,27,2019-05-05 08:00:00,-0.003,0.557,397
1631083,27,2019-05-05 08:15:00,-0.003,0.583,398
1631082,27,2019-05-05 08:30:00,-0.003,0.817,399
1631081,27,2019-05-05 08:45:00,-0.003,0.405,400
1631218,27,2019-05-05 09:00:00,-0.003,0.889,401
1631217,27,2019-05-05 09:15:00,-0.003,0.441,402
1631216,27,2019-05-05 09:30:00,-0.003,0.718,403
1631215,27,2019-05-05 09:45:00,-0.003,0.78,404
1631319,27,2019-05-05 10:00:00,-0.002,0.532,405
1631272,27,2019-05-05 10:15:00,0.0,1.047,406
1631271,27,2019-05-05 10:30:00,0.017,0.645,407
1631270,27,2019-05-05 10:45:00,0.075,0.923,408
1631441,27,2019-05-05 11:00:00,0.163,0.91,409
1631430,27,2019-05-05 11:15:00,0.303,0.438,410
1631429,27,2019-05-05 11:30:00,0.444,0.518,411
1631428,27,2019-05-05 11:45:00,0.53,-0.008,412
1631445,27,2019-05-05 12:00:00,0.584,0.468,413
1631444,27,2019-05-05 12:15:00,0.678,-0.111,414
1631443,27,2019-05-05 12:30:00,0.729,0.238,415
1631442,27,2019-05-05 12:45:00,0.896,-0.153,416
1631568,27,2019-05-05 13:00:00,0.886,-0.172,417
1631564,27,2019-05-05 13:15:00,0.894,0.047,418
1631563,27,2019-05-05 13:30:00,1.069,-0.492,419
1631562,27,2019-05-05 13:45:00,1.181,-0.234,420
1631709,27,2019-05-05 14:00:00,1.468,-1.044,421
1631708,27,2019-05-05 14:15:00,1.453,-0.693,422
1631700,27,2019-05-05 14:30:00,1.426,-0.698,423
1631699,27,2019-05-05 14:45:00,1.39,-0.686,424
1631837,27,2019-05-05 15:00:00,1.263,-0.395,425
1631836,27,2019-05-05 15:15:00,1.498,-1.033,426
1631817,27,2019-05-05 15:30:00,1.441,-0.478,427
1631816,27,2019-05-05 15:45:00,0.71,-0.333,428
1631865,27,2019-05-05 16:00:00,1.275,-0.466,429
1631864,27,2019-05-05 16:15:00,1.185,-0.385,430
1631855,27,2019-05-05 16:30:00,1.075,-0.038,431
1631854,27,2019-05-05 16:45:00,1.094,-0.292,432
1631989,27,2019-05-05 17:00:00,1.331,-0.407,433
1631988,27,2019-05-05 17:15:00,1.099,0.059,434
1631987,27,2019-05-05 17:30:00,1.054,-0.127,435
1631986,27,2019-05-05 17:45:00,0.805,0.238,436
1632113,27,2019-05-05 18:00:00,1.344,-0.126,437
1632048,27,2019-05-05 18:15:00,1.716,0.498,438
1632047,27,2019-05-05 18:30:00,1.589,0.314,439
1632046,27,2019-05-05 18:45:00,1.061,0.929,440
1632229,27,2019-05-05 19:00:00,1.365,-0.265,441
1632191,27,2019-05-05 19:15:00,1.445,-0.009,442
1632190,27,2019-05-05 19:30:00,1.302,-0.468,443
1632189,27,2019-05-05 19:45:00,0.948,0.433,444
1632324,27,2019-05-05 20:00:00,0.99,-0.104,445
1632323,27,2019-05-05 20:15:00,0.856,0.383,446
1632322,27,2019-05-05 20:30:00,0.938,0.017,447
1632321,27,2019-05-05 20:45:00,0.713,0.318,448
1632353,27,2019-05-05 21:00:00,0.801,-0.148,449
1632352,27,2019-05-05 21:15:00,0.637,0.235,450
1632351,27,2019-05-05 21:30:00,0.524,0.292,451
1632350,27,2019-05-05 21:45:00,0.521,0.238,452
1632479,27,2019-05-05 22:00:00,0.462,0.221,453
1632474,27,2019-05-05 22:15:00,0.317,0.429,454
1632473,27,2019-05-05 22:30:00,0.148,0.759,455
1632472,27,2019-05-05 22:45:00,0.14,0.684,456
1632585,27,2019-05-05 23:00:00,0.053,0.511,457
1632584,27,2019-05-05 23:15:00,0.022,0.873,458
1632583,27,2019-05-05 23:30:00,0.018,3.246,459
1632582,27,2019-05-05 23:45:00,0.016,4.427,460
1632737,27,2019-05-06 00:00:00,0.0,4.016,461
1632736,27,2019-05-06 00:15:00,-0.001,4.501,462
1632735,27,2019-05-06 00:30:00,-0.001,4.393,463
1632734,27,2019-05-06 00:45:00,-0.001,4.622,464
1632802,27,2019-05-06 01:00:00,-0.001,4.35,465
1632801,27,2019-05-06 01:15:00,-0.001,4.205,466
1632800,27,2019-05-06 01:30:00,-0.001,4.41,467
1632799,27,2019-05-06 01:45:00,-0.002,2.855,468
1632913,27,2019-05-06 02:00:00,-0.003,1.257,469
