,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
386417,386417,2318,2019-05-01 00:00:00-05,,0.897,1,2019-05-01 00:00:00
386418,386418,2318,2019-05-01 00:15:00-05,,0.95,2,2019-05-01 00:15:00
386419,386419,2318,2019-05-01 00:30:00-05,,0.894,3,2019-05-01 00:30:00
386420,386420,2318,2019-05-01 00:45:00-05,,1.227,4,2019-05-01 00:45:00
386421,386421,2318,2019-05-01 01:00:00-05,,1.411,5,2019-05-01 01:00:00
386422,386422,2318,2019-05-01 01:15:00-05,,1.47,6,2019-05-01 01:15:00
386423,386423,2318,2019-05-01 01:30:00-05,,1.229,7,2019-05-01 01:30:00
386424,386424,2318,2019-05-01 01:45:00-05,,0.996,8,2019-05-01 01:45:00
386425,386425,2318,2019-05-01 02:00:00-05,,0.92,9,2019-05-01 02:00:00
386426,386426,2318,2019-05-01 02:15:00-05,,0.864,10,2019-05-01 02:15:00
386427,386427,2318,2019-05-01 02:30:00-05,,0.971,11,2019-05-01 02:30:00
386428,386428,2318,2019-05-01 02:45:00-05,,0.935,12,2019-05-01 02:45:00
386429,386429,2318,2019-05-01 03:00:00-05,,0.854,13,2019-05-01 03:00:00
386430,386430,2318,2019-05-01 03:15:00-05,,0.901,14,2019-05-01 03:15:00
386431,386431,2318,2019-05-01 03:30:00-05,,0.908,15,2019-05-01 03:30:00
386432,386432,2318,2019-05-01 03:45:00-05,,0.995,16,2019-05-01 03:45:00
386433,386433,2318,2019-05-01 04:00:00-05,,0.878,17,2019-05-01 04:00:00
386434,386434,2318,2019-05-01 04:15:00-05,,0.939,18,2019-05-01 04:15:00
386435,386435,2318,2019-05-01 04:30:00-05,,0.948,19,2019-05-01 04:30:00
386436,386436,2318,2019-05-01 04:45:00-05,,0.933,20,2019-05-01 04:45:00
386437,386437,2318,2019-05-01 05:00:00-05,,1.085,21,2019-05-01 05:00:00
386438,386438,2318,2019-05-01 05:15:00-05,,0.996,22,2019-05-01 05:15:00
386439,386439,2318,2019-05-01 05:30:00-05,,1.074,23,2019-05-01 05:30:00
386440,386440,2318,2019-05-01 05:45:00-05,,1.052,24,2019-05-01 05:45:00
386441,386441,2318,2019-05-01 06:00:00-05,,1.192,25,2019-05-01 06:00:00
386442,386442,2318,2019-05-01 06:15:00-05,,1.086,26,2019-05-01 06:15:00
386443,386443,2318,2019-05-01 06:30:00-05,,1.523,27,2019-05-01 06:30:00
386444,386444,2318,2019-05-01 06:45:00-05,,1.925,28,2019-05-01 06:45:00
386445,386445,2318,2019-05-01 07:00:00-05,,1.913,29,2019-05-01 07:00:00
386446,386446,2318,2019-05-01 07:15:00-05,,1.974,30,2019-05-01 07:15:00
386447,386447,2318,2019-05-01 07:30:00-05,,1.851,31,2019-05-01 07:30:00
386448,386448,2318,2019-05-01 07:45:00-05,,1.907,32,2019-05-01 07:45:00
386449,386449,2318,2019-05-01 08:00:00-05,,1.84,33,2019-05-01 08:00:00
386450,386450,2318,2019-05-01 08:15:00-05,,1.871,34,2019-05-01 08:15:00
386451,386451,2318,2019-05-01 08:30:00-05,,1.98,35,2019-05-01 08:30:00
386452,386452,2318,2019-05-01 08:45:00-05,,1.87,36,2019-05-01 08:45:00
386453,386453,2318,2019-05-01 09:00:00-05,,2.098,37,2019-05-01 09:00:00
386454,386454,2318,2019-05-01 09:15:00-05,,2.001,38,2019-05-01 09:15:00
386455,386455,2318,2019-05-01 09:30:00-05,,2.123,39,2019-05-01 09:30:00
386456,386456,2318,2019-05-01 09:45:00-05,,2.444,40,2019-05-01 09:45:00
386457,386457,2318,2019-05-01 10:00:00-05,,2.298,41,2019-05-01 10:00:00
386458,386458,2318,2019-05-01 10:15:00-05,,1.711,42,2019-05-01 10:15:00
386459,386459,2318,2019-05-01 10:30:00-05,,1.65,43,2019-05-01 10:30:00
386460,386460,2318,2019-05-01 10:45:00-05,,1.328,44,2019-05-01 10:45:00
386461,386461,2318,2019-05-01 11:00:00-05,,1.072,45,2019-05-01 11:00:00
386462,386462,2318,2019-05-01 11:15:00-05,,1.458,46,2019-05-01 11:15:00
386463,386463,2318,2019-05-01 11:30:00-05,,1.137,47,2019-05-01 11:30:00
386464,386464,2318,2019-05-01 11:45:00-05,,1.255,48,2019-05-01 11:45:00
386465,386465,2318,2019-05-01 12:00:00-05,,1.43,49,2019-05-01 12:00:00
386466,386466,2318,2019-05-01 12:15:00-05,,1.45,50,2019-05-01 12:15:00
386467,386467,2318,2019-05-01 12:30:00-05,,1.475,51,2019-05-01 12:30:00
386468,386468,2318,2019-05-01 12:45:00-05,,1.745,52,2019-05-01 12:45:00
386469,386469,2318,2019-05-01 13:00:00-05,,1.511,53,2019-05-01 13:00:00
386470,386470,2318,2019-05-01 13:15:00-05,,1.499,54,2019-05-01 13:15:00
386471,386471,2318,2019-05-01 13:30:00-05,,1.596,55,2019-05-01 13:30:00
386472,386472,2318,2019-05-01 13:45:00-05,,1.434,56,2019-05-01 13:45:00
386473,386473,2318,2019-05-01 14:00:00-05,,1.518,57,2019-05-01 14:00:00
386474,386474,2318,2019-05-01 14:15:00-05,,0.911,58,2019-05-01 14:15:00
386475,386475,2318,2019-05-01 14:30:00-05,,0.695,59,2019-05-01 14:30:00
386476,386476,2318,2019-05-01 14:45:00-05,,0.709,60,2019-05-01 14:45:00
386477,386477,2318,2019-05-01 15:00:00-05,,0.725,61,2019-05-01 15:00:00
386478,386478,2318,2019-05-01 15:15:00-05,,0.84,62,2019-05-01 15:15:00
386479,386479,2318,2019-05-01 15:30:00-05,,0.78,63,2019-05-01 15:30:00
386480,386480,2318,2019-05-01 15:45:00-05,,0.715,64,2019-05-01 15:45:00
386481,386481,2318,2019-05-01 16:00:00-05,,0.816,65,2019-05-01 16:00:00
