,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
88027,88027,558,2019-05-01 00:00:00-05,,0.716,1,2019-05-01 00:00:00
88028,88028,558,2019-05-01 00:15:00-05,,0.83,2,2019-05-01 00:15:00
88029,88029,558,2019-05-01 00:30:00-05,,0.46,3,2019-05-01 00:30:00
88030,88030,558,2019-05-01 00:45:00-05,,0.485,4,2019-05-01 00:45:00
88031,88031,558,2019-05-01 01:00:00-05,,0.822,5,2019-05-01 01:00:00
88032,88032,558,2019-05-01 01:15:00-05,,0.626,6,2019-05-01 01:15:00
88033,88033,558,2019-05-01 01:30:00-05,,0.614,7,2019-05-01 01:30:00
88034,88034,558,2019-05-01 01:45:00-05,,0.751,8,2019-05-01 01:45:00
88035,88035,558,2019-05-01 02:00:00-05,,0.769,9,2019-05-01 02:00:00
88036,88036,558,2019-05-01 02:15:00-05,,0.685,10,2019-05-01 02:15:00
88037,88037,558,2019-05-01 02:30:00-05,,0.655,11,2019-05-01 02:30:00
88038,88038,558,2019-05-01 02:45:00-05,,0.651,12,2019-05-01 02:45:00
88039,88039,558,2019-05-01 03:00:00-05,,0.523,13,2019-05-01 03:00:00
88040,88040,558,2019-05-01 03:15:00-05,,0.747,14,2019-05-01 03:15:00
88041,88041,558,2019-05-01 03:30:00-05,,0.769,15,2019-05-01 03:30:00
88042,88042,558,2019-05-01 03:45:00-05,,0.628,16,2019-05-01 03:45:00
88043,88043,558,2019-05-01 04:00:00-05,,0.757,17,2019-05-01 04:00:00
88044,88044,558,2019-05-01 04:15:00-05,,0.802,18,2019-05-01 04:15:00
88045,88045,558,2019-05-01 04:30:00-05,,0.548,19,2019-05-01 04:30:00
88046,88046,558,2019-05-01 04:45:00-05,,0.606,20,2019-05-01 04:45:00
88047,88047,558,2019-05-01 05:00:00-05,,0.657,21,2019-05-01 05:00:00
88048,88048,558,2019-05-01 05:15:00-05,,0.49,22,2019-05-01 05:15:00
88049,88049,558,2019-05-01 05:30:00-05,,0.906,23,2019-05-01 05:30:00
88050,88050,558,2019-05-01 05:45:00-05,,0.746,24,2019-05-01 05:45:00
88051,88051,558,2019-05-01 06:00:00-05,,0.565,25,2019-05-01 06:00:00
88052,88052,558,2019-05-01 06:15:00-05,,0.594,26,2019-05-01 06:15:00
88053,88053,558,2019-05-01 06:30:00-05,,1.216,27,2019-05-01 06:30:00
88054,88054,558,2019-05-01 06:45:00-05,,2.166,28,2019-05-01 06:45:00
88055,88055,558,2019-05-01 07:00:00-05,,0.976,29,2019-05-01 07:00:00
88056,88056,558,2019-05-01 07:15:00-05,,1.438,30,2019-05-01 07:15:00
88057,88057,558,2019-05-01 07:30:00-05,,1.27,31,2019-05-01 07:30:00
88058,88058,558,2019-05-01 07:45:00-05,,1.085,32,2019-05-01 07:45:00
88059,88059,558,2019-05-01 08:00:00-05,,1.023,33,2019-05-01 08:00:00
88060,88060,558,2019-05-01 08:15:00-05,,1.204,34,2019-05-01 08:15:00
88061,88061,558,2019-05-01 08:30:00-05,,1.594,35,2019-05-01 08:30:00
88062,88062,558,2019-05-01 08:45:00-05,,1.235,36,2019-05-01 08:45:00
88063,88063,558,2019-05-01 09:00:00-05,,1.047,37,2019-05-01 09:00:00
88064,88064,558,2019-05-01 09:15:00-05,,0.942,38,2019-05-01 09:15:00
88065,88065,558,2019-05-01 09:30:00-05,,0.638,39,2019-05-01 09:30:00
88066,88066,558,2019-05-01 09:45:00-05,,0.649,40,2019-05-01 09:45:00
88067,88067,558,2019-05-01 10:00:00-05,,0.639,41,2019-05-01 10:00:00
88068,88068,558,2019-05-01 10:15:00-05,,0.902,42,2019-05-01 10:15:00
88069,88069,558,2019-05-01 10:30:00-05,,0.629,43,2019-05-01 10:30:00
88070,88070,558,2019-05-01 10:45:00-05,,0.548,44,2019-05-01 10:45:00
88071,88071,558,2019-05-01 11:00:00-05,,0.63,45,2019-05-01 11:00:00
88072,88072,558,2019-05-01 11:15:00-05,,0.776,46,2019-05-01 11:15:00
88073,88073,558,2019-05-01 11:30:00-05,,0.765,47,2019-05-01 11:30:00
88074,88074,558,2019-05-01 11:45:00-05,,0.577,48,2019-05-01 11:45:00
88075,88075,558,2019-05-01 12:00:00-05,,0.565,49,2019-05-01 12:00:00
88076,88076,558,2019-05-01 12:15:00-05,,0.656,50,2019-05-01 12:15:00
88077,88077,558,2019-05-01 12:30:00-05,,0.618,51,2019-05-01 12:30:00
88078,88078,558,2019-05-01 12:45:00-05,,0.56,52,2019-05-01 12:45:00
88079,88079,558,2019-05-01 13:00:00-05,,0.963,53,2019-05-01 13:00:00
88080,88080,558,2019-05-01 13:15:00-05,,1.118,54,2019-05-01 13:15:00
88081,88081,558,2019-05-01 13:30:00-05,,0.699,55,2019-05-01 13:30:00
88082,88082,558,2019-05-01 13:45:00-05,,0.871,56,2019-05-01 13:45:00
88083,88083,558,2019-05-01 14:00:00-05,,0.822,57,2019-05-01 14:00:00
88084,88084,558,2019-05-01 14:15:00-05,,0.91,58,2019-05-01 14:15:00
88085,88085,558,2019-05-01 14:30:00-05,,0.962,59,2019-05-01 14:30:00
88086,88086,558,2019-05-01 14:45:00-05,,0.971,60,2019-05-01 14:45:00
88087,88087,558,2019-05-01 15:00:00-05,,0.887,61,2019-05-01 15:00:00
88088,88088,558,2019-05-01 15:15:00-05,,0.931,62,2019-05-01 15:15:00
88089,88089,558,2019-05-01 15:30:00-05,,1.542,63,2019-05-01 15:30:00
88090,88090,558,2019-05-01 15:45:00-05,,1.394,64,2019-05-01 15:45:00
88091,88091,558,2019-05-01 16:00:00-05,,0.961,65,2019-05-01 16:00:00
88092,88092,558,2019-05-01 16:15:00-05,,0.951,66,2019-05-01 16:15:00
88093,88093,558,2019-05-01 16:30:00-05,,1.016,67,2019-05-01 16:30:00
88094,88094,558,2019-05-01 16:45:00-05,,2.149,68,2019-05-01 16:45:00
88095,88095,558,2019-05-01 17:00:00-05,,1.168,69,2019-05-01 17:00:00
88096,88096,558,2019-05-01 17:15:00-05,,1.102,70,2019-05-01 17:15:00
88097,88097,558,2019-05-01 17:30:00-05,,1.039,71,2019-05-01 17:30:00
88098,88098,558,2019-05-01 17:45:00-05,,1.074,72,2019-05-01 17:45:00
88099,88099,558,2019-05-01 18:00:00-05,,1.129,73,2019-05-01 18:00:00
88100,88100,558,2019-05-01 18:15:00-05,,0.819,74,2019-05-01 18:15:00
88101,88101,558,2019-05-01 18:30:00-05,,0.823,75,2019-05-01 18:30:00
88102,88102,558,2019-05-01 18:45:00-05,,0.784,76,2019-05-01 18:45:00
88103,88103,558,2019-05-01 19:00:00-05,,1.177,77,2019-05-01 19:00:00
88104,88104,558,2019-05-01 19:15:00-05,,0.791,78,2019-05-01 19:15:00
