,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
666509,666509,3517,2019-05-01 00:00:00-05,0.001,1.438,1,2019-05-01 00:00:00
666510,666510,3517,2019-05-01 00:15:00-05,0.001,1.25,2,2019-05-01 00:15:00
666511,666511,3517,2019-05-01 00:30:00-05,0.002,1.277,3,2019-05-01 00:30:00
666512,666512,3517,2019-05-01 00:45:00-05,0.001,1.481,4,2019-05-01 00:45:00
666513,666513,3517,2019-05-01 01:00:00-05,0.001,1.532,5,2019-05-01 01:00:00
666514,666514,3517,2019-05-01 01:15:00-05,0.001,1.275,6,2019-05-01 01:15:00
666515,666515,3517,2019-05-01 01:30:00-05,0.001,1.414,7,2019-05-01 01:30:00
666516,666516,3517,2019-05-01 01:45:00-05,0.002,0.86,8,2019-05-01 01:45:00
666517,666517,3517,2019-05-01 02:00:00-05,0.002,0.369,9,2019-05-01 02:00:00
666518,666518,3517,2019-05-01 02:15:00-05,0.001,0.28,10,2019-05-01 02:15:00
666519,666519,3517,2019-05-01 02:30:00-05,0.002,0.391,11,2019-05-01 02:30:00
666520,666520,3517,2019-05-01 02:45:00-05,0.002,0.31,12,2019-05-01 02:45:00
666521,666521,3517,2019-05-01 03:00:00-05,0.002,0.302,13,2019-05-01 03:00:00
666522,666522,3517,2019-05-01 03:15:00-05,0.001,0.385,14,2019-05-01 03:15:00
666523,666523,3517,2019-05-01 03:30:00-05,0.002,0.339,15,2019-05-01 03:30:00
666524,666524,3517,2019-05-01 03:45:00-05,0.002,0.257,16,2019-05-01 03:45:00
666525,666525,3517,2019-05-01 04:00:00-05,0.002,0.263,17,2019-05-01 04:00:00
666526,666526,3517,2019-05-01 04:15:00-05,0.002,0.492,18,2019-05-01 04:15:00
666527,666527,3517,2019-05-01 04:30:00-05,0.002,0.227,19,2019-05-01 04:30:00
666528,666528,3517,2019-05-01 04:45:00-05,0.002,0.257,20,2019-05-01 04:45:00
666529,666529,3517,2019-05-01 05:00:00-05,0.002,0.42,21,2019-05-01 05:00:00
666530,666530,3517,2019-05-01 05:15:00-05,0.002,0.275,22,2019-05-01 05:15:00
666531,666531,3517,2019-05-01 05:30:00-05,0.002,0.241,23,2019-05-01 05:30:00
666532,666532,3517,2019-05-01 05:45:00-05,-0.004,1.422,24,2019-05-01 05:45:00
666533,666533,3517,2019-05-01 06:00:00-05,0.006,1.684,25,2019-05-01 06:00:00
666534,666534,3517,2019-05-01 06:15:00-05,0.024,0.481,26,2019-05-01 06:15:00
666535,666535,3517,2019-05-01 06:30:00-05,0.036,0.508,27,2019-05-01 06:30:00
666536,666536,3517,2019-05-01 06:45:00-05,0.046,0.748,28,2019-05-01 06:45:00
