,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
894777,894777,4283,2019-05-01 00:00:00-05,,0.798,1,2019-05-01 00:00:00
894778,894778,4283,2019-05-01 00:15:00-05,,0.791,2,2019-05-01 00:15:00
894779,894779,4283,2019-05-01 00:30:00-05,,0.816,3,2019-05-01 00:30:00
894780,894780,4283,2019-05-01 00:45:00-05,,0.797,4,2019-05-01 00:45:00
894781,894781,4283,2019-05-01 01:00:00-05,,0.797,5,2019-05-01 01:00:00
894782,894782,4283,2019-05-01 01:15:00-05,,0.884,6,2019-05-01 01:15:00
894783,894783,4283,2019-05-01 01:30:00-05,,0.879,7,2019-05-01 01:30:00
894784,894784,4283,2019-05-01 01:45:00-05,,0.884,8,2019-05-01 01:45:00
894785,894785,4283,2019-05-01 02:00:00-05,,0.971,9,2019-05-01 02:00:00
894786,894786,4283,2019-05-01 02:15:00-05,,0.991,10,2019-05-01 02:15:00
894787,894787,4283,2019-05-01 02:30:00-05,,0.89,11,2019-05-01 02:30:00
894788,894788,4283,2019-05-01 02:45:00-05,,0.883,12,2019-05-01 02:45:00
894789,894789,4283,2019-05-01 03:00:00-05,,0.872,13,2019-05-01 03:00:00
894790,894790,4283,2019-05-01 03:15:00-05,,0.795,14,2019-05-01 03:15:00
894791,894791,4283,2019-05-01 03:30:00-05,,0.795,15,2019-05-01 03:30:00
894792,894792,4283,2019-05-01 03:45:00-05,,0.862,16,2019-05-01 03:45:00
894793,894793,4283,2019-05-01 04:00:00-05,,0.82,17,2019-05-01 04:00:00
894794,894794,4283,2019-05-01 04:15:00-05,,0.797,18,2019-05-01 04:15:00
894795,894795,4283,2019-05-01 04:30:00-05,,0.882,19,2019-05-01 04:30:00
894796,894796,4283,2019-05-01 04:45:00-05,,0.898,20,2019-05-01 04:45:00
894797,894797,4283,2019-05-01 05:00:00-05,,0.863,21,2019-05-01 05:00:00
894798,894798,4283,2019-05-01 05:15:00-05,,0.936,22,2019-05-01 05:15:00
894799,894799,4283,2019-05-01 05:30:00-05,,1.129,23,2019-05-01 05:30:00
894800,894800,4283,2019-05-01 05:45:00-05,,1.989,24,2019-05-01 05:45:00
894801,894801,4283,2019-05-01 06:00:00-05,,1.161,25,2019-05-01 06:00:00
894802,894802,4283,2019-05-01 06:15:00-05,,1.169,26,2019-05-01 06:15:00
894803,894803,4283,2019-05-01 06:30:00-05,,1.166,27,2019-05-01 06:30:00
894804,894804,4283,2019-05-01 06:45:00-05,,1.121,28,2019-05-01 06:45:00
894805,894805,4283,2019-05-01 07:00:00-05,,1.046,29,2019-05-01 07:00:00
894806,894806,4283,2019-05-01 07:15:00-05,,1.802,30,2019-05-01 07:15:00
894807,894807,4283,2019-05-01 07:30:00-05,,1.467,31,2019-05-01 07:30:00
894808,894808,4283,2019-05-01 07:45:00-05,,1.282,32,2019-05-01 07:45:00
894809,894809,4283,2019-05-01 08:00:00-05,,1.052,33,2019-05-01 08:00:00
894810,894810,4283,2019-05-01 08:15:00-05,,1.101,34,2019-05-01 08:15:00
894811,894811,4283,2019-05-01 08:30:00-05,,1.166,35,2019-05-01 08:30:00
894812,894812,4283,2019-05-01 08:45:00-05,,1.452,36,2019-05-01 08:45:00
894813,894813,4283,2019-05-01 09:00:00-05,,1.411,37,2019-05-01 09:00:00
894814,894814,4283,2019-05-01 09:15:00-05,,1.3,38,2019-05-01 09:15:00
894815,894815,4283,2019-05-01 09:30:00-05,,1.263,39,2019-05-01 09:30:00
894816,894816,4283,2019-05-01 09:45:00-05,,1.113,40,2019-05-01 09:45:00
894817,894817,4283,2019-05-01 10:00:00-05,,1.114,41,2019-05-01 10:00:00
894818,894818,4283,2019-05-01 10:15:00-05,,1.2,42,2019-05-01 10:15:00
894819,894819,4283,2019-05-01 10:30:00-05,,1.137,43,2019-05-01 10:30:00
894820,894820,4283,2019-05-01 10:45:00-05,,1.133,44,2019-05-01 10:45:00
894821,894821,4283,2019-05-01 11:00:00-05,,1.168,45,2019-05-01 11:00:00
894822,894822,4283,2019-05-01 11:15:00-05,,1.328,46,2019-05-01 11:15:00
894823,894823,4283,2019-05-01 11:30:00-05,,1.106,47,2019-05-01 11:30:00
894824,894824,4283,2019-05-01 11:45:00-05,,1.127,48,2019-05-01 11:45:00
894825,894825,4283,2019-05-01 12:00:00-05,,1.116,49,2019-05-01 12:00:00
894826,894826,4283,2019-05-01 12:15:00-05,,0.993,50,2019-05-01 12:15:00
894827,894827,4283,2019-05-01 12:30:00-05,,0.922,51,2019-05-01 12:30:00
894828,894828,4283,2019-05-01 12:45:00-05,,0.922,52,2019-05-01 12:45:00
894829,894829,4283,2019-05-01 13:00:00-05,,0.996,53,2019-05-01 13:00:00
894830,894830,4283,2019-05-01 13:15:00-05,,1.228,54,2019-05-01 13:15:00
894831,894831,4283,2019-05-01 13:30:00-05,,1.338,55,2019-05-01 13:30:00
894832,894832,4283,2019-05-01 13:45:00-05,,1.182,56,2019-05-01 13:45:00
