,Unnamed: 0,dataid,local_15min,solar_total,grid
420320,595788,9775,2016-01-01 00:00:00-06,,0.757
420321,595789,9775,2016-01-01 00:15:00-06,,0.86
420322,595790,9775,2016-01-01 00:30:00-06,,0.861
420323,595791,9775,2016-01-01 00:45:00-06,,0.963
420324,595792,9775,2016-01-01 01:00:00-06,,0.761
420325,595793,9775,2016-01-01 01:15:00-06,,0.749
420326,595794,9775,2016-01-01 01:30:00-06,,0.634
420327,595795,9775,2016-01-01 01:45:00-06,,0.543
420328,595796,9775,2016-01-01 02:00:00-06,,0.53
420329,595797,9775,2016-01-01 02:15:00-06,,0.494
420330,595798,9775,2016-01-01 02:30:00-06,,0.518
420331,595799,9775,2016-01-01 02:45:00-06,,0.472
420332,595800,9775,2016-01-01 03:00:00-06,,0.428
420333,595801,9775,2016-01-01 03:15:00-06,,0.438
420334,595802,9775,2016-01-01 03:30:00-06,,0.426
420335,595803,9775,2016-01-01 03:45:00-06,,0.387
420336,595804,9775,2016-01-01 04:00:00-06,,0.417
420337,595805,9775,2016-01-01 04:15:00-06,,0.39
420338,595806,9775,2016-01-01 04:30:00-06,,0.398
420339,595807,9775,2016-01-01 04:45:00-06,,0.459
420340,595808,9775,2016-01-01 05:00:00-06,,0.436
420341,595809,9775,2016-01-01 05:15:00-06,,0.448
420342,595810,9775,2016-01-01 05:30:00-06,,0.41
420343,595811,9775,2016-01-01 05:45:00-06,,0.406
420344,595812,9775,2016-01-01 06:00:00-06,,0.438
420345,595813,9775,2016-01-01 06:15:00-06,,0.402
420346,595814,9775,2016-01-01 06:30:00-06,,0.509
420347,595815,9775,2016-01-01 06:45:00-06,,0.667
420348,595816,9775,2016-01-01 07:00:00-06,,0.647
420349,595817,9775,2016-01-01 07:15:00-06,,0.665
420350,595818,9775,2016-01-01 07:30:00-06,,0.657
420351,595819,9775,2016-01-01 07:45:00-06,,0.622
420352,595820,9775,2016-01-01 08:00:00-06,,0.635
420353,595821,9775,2016-01-01 08:15:00-06,,0.609
