,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
1210253,1210253,5997,2019-05-01 00:00:00-05,-0.003,0.309,1,2019-05-01 00:00:00
1210254,1210254,5997,2019-05-01 00:15:00-05,-0.003,0.273,2,2019-05-01 00:15:00
1210255,1210255,5997,2019-05-01 00:30:00-05,-0.003,0.408,3,2019-05-01 00:30:00
1210256,1210256,5997,2019-05-01 00:45:00-05,-0.003,0.325,4,2019-05-01 00:45:00
1210257,1210257,5997,2019-05-01 01:00:00-05,-0.01,0.351,5,2019-05-01 01:00:00
1210258,1210258,5997,2019-05-01 01:15:00-05,-0.003,0.484,6,2019-05-01 01:15:00
1210259,1210259,5997,2019-05-01 01:30:00-05,-0.003,0.424,7,2019-05-01 01:30:00
1210260,1210260,5997,2019-05-01 01:45:00-05,-0.003,0.361,8,2019-05-01 01:45:00
1210261,1210261,5997,2019-05-01 02:00:00-05,-0.003,0.381,9,2019-05-01 02:00:00
1210262,1210262,5997,2019-05-01 02:15:00-05,-0.003,0.526,10,2019-05-01 02:15:00
1210263,1210263,5997,2019-05-01 02:30:00-05,-0.003,0.447,11,2019-05-01 02:30:00
1210264,1210264,5997,2019-05-01 02:45:00-05,-0.003,0.435,12,2019-05-01 02:45:00
1210265,1210265,5997,2019-05-01 03:00:00-05,-0.01,0.442,13,2019-05-01 03:00:00
1210266,1210266,5997,2019-05-01 03:15:00-05,-0.003,0.528,14,2019-05-01 03:15:00
1210267,1210267,5997,2019-05-01 03:30:00-05,-0.003,0.332,15,2019-05-01 03:30:00
1210268,1210268,5997,2019-05-01 03:45:00-05,-0.003,0.276,16,2019-05-01 03:45:00
1210269,1210269,5997,2019-05-01 04:00:00-05,-0.003,1.089,17,2019-05-01 04:00:00
1210270,1210270,5997,2019-05-01 04:15:00-05,-0.003,1.541,18,2019-05-01 04:15:00
1210271,1210271,5997,2019-05-01 04:30:00-05,-0.003,1.785,19,2019-05-01 04:30:00
1210272,1210272,5997,2019-05-01 04:45:00-05,-0.003,1.8,20,2019-05-01 04:45:00
1210273,1210273,5997,2019-05-01 05:00:00-05,-0.188,2.801,21,2019-05-01 05:00:00
1210274,1210274,5997,2019-05-01 05:15:00-05,-0.003,3.274,22,2019-05-01 05:15:00
1210275,1210275,5997,2019-05-01 05:30:00-05,-0.005,3.676,23,2019-05-01 05:30:00
1210276,1210276,5997,2019-05-01 05:45:00-05,-0.003,2.902,24,2019-05-01 05:45:00
1210277,1210277,5997,2019-05-01 06:00:00-05,0.011,4.325,25,2019-05-01 06:00:00
1210278,1210278,5997,2019-05-01 06:15:00-05,0.013,0.609,26,2019-05-01 06:15:00
1210279,1210279,5997,2019-05-01 06:30:00-05,0.064,0.57,27,2019-05-01 06:30:00
1210280,1210280,5997,2019-05-01 06:45:00-05,0.07,0.588,28,2019-05-01 06:45:00
1210281,1210281,5997,2019-05-01 07:00:00-05,0.163,0.534,29,2019-05-01 07:00:00
1210282,1210282,5997,2019-05-01 07:15:00-05,0.31,0.203,30,2019-05-01 07:15:00
1210283,1210283,5997,2019-05-01 07:30:00-05,0.404,-0.055,31,2019-05-01 07:30:00
1210284,1210284,5997,2019-05-01 07:45:00-05,0.405,-0.091,32,2019-05-01 07:45:00
1210285,1210285,5997,2019-05-01 08:00:00-05,0.501,-0.071,33,2019-05-01 08:00:00
1210286,1210286,5997,2019-05-01 08:15:00-05,0.658,-0.343,34,2019-05-01 08:15:00
1210287,1210287,5997,2019-05-01 08:30:00-05,0.715,-0.462,35,2019-05-01 08:30:00
1210288,1210288,5997,2019-05-01 08:45:00-05,0.831,-0.401,36,2019-05-01 08:45:00
1210289,1210289,5997,2019-05-01 09:00:00-05,0.933,-0.481,37,2019-05-01 09:00:00
1210290,1210290,5997,2019-05-01 09:15:00-05,1.135,-0.682,38,2019-05-01 09:15:00
1210291,1210291,5997,2019-05-01 09:30:00-05,1.42,-1.013,39,2019-05-01 09:30:00
1210292,1210292,5997,2019-05-01 09:45:00-05,1.627,-1.242,40,2019-05-01 09:45:00
1210293,1210293,5997,2019-05-01 10:00:00-05,1.917,-1.605,41,2019-05-01 10:00:00
1210294,1210294,5997,2019-05-01 10:15:00-05,1.488,-1.07,42,2019-05-01 10:15:00
1210295,1210295,5997,2019-05-01 10:30:00-05,2.351,-1.87,43,2019-05-01 10:30:00
1210296,1210296,5997,2019-05-01 10:45:00-05,2.095,-1.716,44,2019-05-01 10:45:00
1210297,1210297,5997,2019-05-01 11:00:00-05,2.497,-2.223,45,2019-05-01 11:00:00
1210298,1210298,5997,2019-05-01 11:15:00-05,2.992,-2.602,46,2019-05-01 11:15:00
1210299,1210299,5997,2019-05-01 11:30:00-05,3.471,-3.163,47,2019-05-01 11:30:00
1210300,1210300,5997,2019-05-01 11:45:00-05,3.554,-3.329,48,2019-05-01 11:45:00
1210301,1210301,5997,2019-05-01 12:00:00-05,4.884,-4.555,49,2019-05-01 12:00:00
1210302,1210302,5997,2019-05-01 12:15:00-05,5.703,-5.239,50,2019-05-01 12:15:00
1210303,1210303,5997,2019-05-01 12:30:00-05,6.952,-6.678,51,2019-05-01 12:30:00
1210304,1210304,5997,2019-05-01 12:45:00-05,7.065,-6.803,52,2019-05-01 12:45:00
1210305,1210305,5997,2019-05-01 13:00:00-05,5.794,-5.419,53,2019-05-01 13:00:00
1210306,1210306,5997,2019-05-01 13:15:00-05,6.803,-6.404,54,2019-05-01 13:15:00
1210307,1210307,5997,2019-05-01 13:30:00-05,6.654,-6.372,55,2019-05-01 13:30:00
1210308,1210308,5997,2019-05-01 13:45:00-05,6.613,-6.186,56,2019-05-01 13:45:00
1210309,1210309,5997,2019-05-01 14:00:00-05,6.853,-6.371,57,2019-05-01 14:00:00
1210310,1210310,5997,2019-05-01 14:15:00-05,6.702,-5.972,58,2019-05-01 14:15:00
1210311,1210311,5997,2019-05-01 14:30:00-05,2.798,-2.013,59,2019-05-01 14:30:00
1210312,1210312,5997,2019-05-01 14:45:00-05,3.136,-2.191,60,2019-05-01 14:45:00
