,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
176051,176051,1222,2019-05-01 00:00:00-05,-0.005,0.159,1,2019-05-01 00:00:00
176052,176052,1222,2019-05-01 00:15:00-05,-0.004,2.879,2,2019-05-01 00:15:00
176053,176053,1222,2019-05-01 00:30:00-05,-0.004,3.291,3,2019-05-01 00:30:00
176054,176054,1222,2019-05-01 00:45:00-05,-0.004,3.432,4,2019-05-01 00:45:00
176055,176055,1222,2019-05-01 01:00:00-05,-0.004,3.548,5,2019-05-01 01:00:00
176056,176056,1222,2019-05-01 01:15:00-05,-0.004,4.991,6,2019-05-01 01:15:00
176057,176057,1222,2019-05-01 01:30:00-05,-0.005,0.115,7,2019-05-01 01:30:00
176058,176058,1222,2019-05-01 01:45:00-05,-0.005,0.159,8,2019-05-01 01:45:00
176059,176059,1222,2019-05-01 02:00:00-05,-0.005,0.1,9,2019-05-01 02:00:00
176060,176060,1222,2019-05-01 02:15:00-05,-0.005,0.152,10,2019-05-01 02:15:00
176061,176061,1222,2019-05-01 02:30:00-05,-0.005,0.538,11,2019-05-01 02:30:00
176062,176062,1222,2019-05-01 02:45:00-05,-0.005,0.558,12,2019-05-01 02:45:00
176063,176063,1222,2019-05-01 03:00:00-05,-0.005,0.52,13,2019-05-01 03:00:00
176064,176064,1222,2019-05-01 03:15:00-05,-0.005,0.542,14,2019-05-01 03:15:00
176065,176065,1222,2019-05-01 03:30:00-05,-0.005,0.498,15,2019-05-01 03:30:00
176066,176066,1222,2019-05-01 03:45:00-05,-0.005,0.155,16,2019-05-01 03:45:00
176067,176067,1222,2019-05-01 04:00:00-05,-0.005,0.165,17,2019-05-01 04:00:00
176068,176068,1222,2019-05-01 04:15:00-05,-0.005,1.076,18,2019-05-01 04:15:00
176069,176069,1222,2019-05-01 04:30:00-05,-0.004,3.079,19,2019-05-01 04:30:00
176070,176070,1222,2019-05-01 04:45:00-05,-0.004,3.292,20,2019-05-01 04:45:00
176071,176071,1222,2019-05-01 05:00:00-05,-0.003,3.386,21,2019-05-01 05:00:00
176072,176072,1222,2019-05-01 05:15:00-05,-0.004,3.465,22,2019-05-01 05:15:00
176073,176073,1222,2019-05-01 05:30:00-05,-0.004,2.374,23,2019-05-01 05:30:00
176074,176074,1222,2019-05-01 05:45:00-05,0.009,0.351,24,2019-05-01 05:45:00
176075,176075,1222,2019-05-01 06:00:00-05,0.056,1.1,25,2019-05-01 06:00:00
176076,176076,1222,2019-05-01 06:15:00-05,0.059,1.025,26,2019-05-01 06:15:00
176077,176077,1222,2019-05-01 06:30:00-05,0.093,1.088,27,2019-05-01 06:30:00
176078,176078,1222,2019-05-01 06:45:00-05,0.146,2.163,28,2019-05-01 06:45:00
176079,176079,1222,2019-05-01 07:00:00-05,0.184,2.257,29,2019-05-01 07:00:00
176080,176080,1222,2019-05-01 07:15:00-05,0.244,3.345,30,2019-05-01 07:15:00
176081,176081,1222,2019-05-01 07:30:00-05,0.343,0.955,31,2019-05-01 07:30:00
176082,176082,1222,2019-05-01 07:45:00-05,0.409,0.391,32,2019-05-01 07:45:00
176083,176083,1222,2019-05-01 08:00:00-05,0.573,0.196,33,2019-05-01 08:00:00
176084,176084,1222,2019-05-01 08:15:00-05,0.695,1.357,34,2019-05-01 08:15:00
176085,176085,1222,2019-05-01 08:30:00-05,0.773,0.704,35,2019-05-01 08:30:00
176086,176086,1222,2019-05-01 08:45:00-05,0.985,-0.129,36,2019-05-01 08:45:00
176087,176087,1222,2019-05-01 09:00:00-05,1.014,-0.587,37,2019-05-01 09:00:00
176088,176088,1222,2019-05-01 09:15:00-05,0.758,-0.333,38,2019-05-01 09:15:00
176089,176089,1222,2019-05-01 09:30:00-05,1.053,-0.725,39,2019-05-01 09:30:00
176090,176090,1222,2019-05-01 09:45:00-05,0.956,2.213,40,2019-05-01 09:45:00
176091,176091,1222,2019-05-01 10:00:00-05,1.078,3.548,41,2019-05-01 10:00:00
176092,176092,1222,2019-05-01 10:15:00-05,1.096,3.468,42,2019-05-01 10:15:00
176093,176093,1222,2019-05-01 10:30:00-05,0.951,2.828,43,2019-05-01 10:30:00
176094,176094,1222,2019-05-01 10:45:00-05,0.905,2.831,44,2019-05-01 10:45:00
176095,176095,1222,2019-05-01 11:00:00-05,1.323,2.889,45,2019-05-01 11:00:00
176096,176096,1222,2019-05-01 11:15:00-05,1.434,2.036,46,2019-05-01 11:15:00
176097,176097,1222,2019-05-01 11:30:00-05,1.821,-0.755,47,2019-05-01 11:30:00
176098,176098,1222,2019-05-01 11:45:00-05,1.891,-1.005,48,2019-05-01 11:45:00
176099,176099,1222,2019-05-01 12:00:00-05,1.836,-1.365,49,2019-05-01 12:00:00
176100,176100,1222,2019-05-01 12:15:00-05,1.94,-1.545,50,2019-05-01 12:15:00
176101,176101,1222,2019-05-01 12:30:00-05,2.36,-1.916,51,2019-05-01 12:30:00
176102,176102,1222,2019-05-01 12:45:00-05,2.154,-1.774,52,2019-05-01 12:45:00
176103,176103,1222,2019-05-01 13:00:00-05,2.478,-2.071,53,2019-05-01 13:00:00
176104,176104,1222,2019-05-01 13:15:00-05,2.451,-1.955,54,2019-05-01 13:15:00
176105,176105,1222,2019-05-01 13:30:00-05,3.47,-3.121,55,2019-05-01 13:30:00
176106,176106,1222,2019-05-01 13:45:00-05,2.734,-2.383,56,2019-05-01 13:45:00
176107,176107,1222,2019-05-01 14:00:00-05,4.941,-4.524,57,2019-05-01 14:00:00
176108,176108,1222,2019-05-01 14:15:00-05,4.406,-4.075,58,2019-05-01 14:15:00
176109,176109,1222,2019-05-01 14:30:00-05,2.618,-2.301,59,2019-05-01 14:30:00
176110,176110,1222,2019-05-01 14:45:00-05,2.25,-2.004,60,2019-05-01 14:45:00
176111,176111,1222,2019-05-01 15:00:00-05,2.611,-2.491,61,2019-05-01 15:00:00
176112,176112,1222,2019-05-01 15:15:00-05,2.526,-2.423,62,2019-05-01 15:15:00
176113,176113,1222,2019-05-01 15:30:00-05,2.863,-2.702,63,2019-05-01 15:30:00
176114,176114,1222,2019-05-01 15:45:00-05,2.06,-1.939,64,2019-05-01 15:45:00
176115,176115,1222,2019-05-01 16:00:00-05,1.595,-1.493,65,2019-05-01 16:00:00
176116,176116,1222,2019-05-01 16:15:00-05,0.946,-0.67,66,2019-05-01 16:15:00
176117,176117,1222,2019-05-01 16:30:00-05,0.796,-0.285,67,2019-05-01 16:30:00
176118,176118,1222,2019-05-01 16:45:00-05,0.695,2.063,68,2019-05-01 16:45:00
176119,176119,1222,2019-05-01 17:00:00-05,0.615,1.202,69,2019-05-01 17:00:00
176120,176120,1222,2019-05-01 17:15:00-05,0.396,1.296,70,2019-05-01 17:15:00
176121,176121,1222,2019-05-01 17:30:00-05,0.307,-0.097,71,2019-05-01 17:30:00
176122,176122,1222,2019-05-01 17:45:00-05,0.141,7.257,72,2019-05-01 17:45:00
176123,176123,1222,2019-05-01 18:00:00-05,0.117,7.404,73,2019-05-01 18:00:00
176124,176124,1222,2019-05-01 18:15:00-05,0.054,3.481,74,2019-05-01 18:15:00
176125,176125,1222,2019-05-01 18:30:00-05,0.035,2.206,75,2019-05-01 18:30:00
176126,176126,1222,2019-05-01 18:45:00-05,0.005,1.335,76,2019-05-01 18:45:00
176127,176127,1222,2019-05-01 19:00:00-05,-0.004,0.705,77,2019-05-01 19:00:00
176128,176128,1222,2019-05-01 19:15:00-05,-0.005,0.877,78,2019-05-01 19:15:00
176129,176129,1222,2019-05-01 19:30:00-05,-0.005,1.044,79,2019-05-01 19:30:00
176130,176130,1222,2019-05-01 19:45:00-05,-0.004,1.506,80,2019-05-01 19:45:00
176131,176131,1222,2019-05-01 20:00:00-05,-0.004,1.555,81,2019-05-01 20:00:00
176132,176132,1222,2019-05-01 20:15:00-05,-0.005,0.719,82,2019-05-01 20:15:00
176133,176133,1222,2019-05-01 20:30:00-05,-0.005,0.643,83,2019-05-01 20:30:00
176134,176134,1222,2019-05-01 20:45:00-05,-0.005,0.628,84,2019-05-01 20:45:00
176135,176135,1222,2019-05-01 21:00:00-05,-0.005,0.624,85,2019-05-01 21:00:00
176136,176136,1222,2019-05-01 21:15:00-05,-0.005,0.479,86,2019-05-01 21:15:00
176137,176137,1222,2019-05-01 21:30:00-05,-0.005,0.478,87,2019-05-01 21:30:00
176138,176138,1222,2019-05-01 21:45:00-05,-0.005,0.547,88,2019-05-01 21:45:00
176139,176139,1222,2019-05-01 22:00:00-05,-0.005,0.5,89,2019-05-01 22:00:00
176140,176140,1222,2019-05-01 22:15:00-05,-0.005,0.55,90,2019-05-01 22:15:00
176141,176141,1222,2019-05-01 22:30:00-05,-0.005,0.429,91,2019-05-01 22:30:00
176142,176142,1222,2019-05-01 22:45:00-05,-0.005,0.309,92,2019-05-01 22:45:00
176143,176143,1222,2019-05-01 23:00:00-05,-0.005,0.342,93,2019-05-01 23:00:00
