,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
438549,438549,2358,2019-05-01 00:00:00-05,,0.061,1,2019-05-01 00:00:00
438550,438550,2358,2019-05-01 00:15:00-05,,0.086,2,2019-05-01 00:15:00
438551,438551,2358,2019-05-01 00:30:00-05,,0.17,3,2019-05-01 00:30:00
438552,438552,2358,2019-05-01 00:45:00-05,,0.094,4,2019-05-01 00:45:00
438553,438553,2358,2019-05-01 01:00:00-05,,0.058,5,2019-05-01 01:00:00
438554,438554,2358,2019-05-01 01:15:00-05,,0.031,6,2019-05-01 01:15:00
438555,438555,2358,2019-05-01 01:30:00-05,,0.143,7,2019-05-01 01:30:00
438556,438556,2358,2019-05-01 01:45:00-05,,0.059,8,2019-05-01 01:45:00
438557,438557,2358,2019-05-01 02:00:00-05,,0.031,9,2019-05-01 02:00:00
438558,438558,2358,2019-05-01 02:15:00-05,,0.053,10,2019-05-01 02:15:00
438559,438559,2358,2019-05-01 02:30:00-05,,0.177,11,2019-05-01 02:30:00
438560,438560,2358,2019-05-01 02:45:00-05,,0.273,12,2019-05-01 02:45:00
438561,438561,2358,2019-05-01 03:00:00-05,,0.072,13,2019-05-01 03:00:00
438562,438562,2358,2019-05-01 03:15:00-05,,0.062,14,2019-05-01 03:15:00
438563,438563,2358,2019-05-01 03:30:00-05,,0.16,15,2019-05-01 03:30:00
438564,438564,2358,2019-05-01 03:45:00-05,,0.031,16,2019-05-01 03:45:00
438565,438565,2358,2019-05-01 04:00:00-05,,0.031,17,2019-05-01 04:00:00
438566,438566,2358,2019-05-01 04:15:00-05,,0.127,18,2019-05-01 04:15:00
438567,438567,2358,2019-05-01 04:30:00-05,,0.409,19,2019-05-01 04:30:00
438568,438568,2358,2019-05-01 04:45:00-05,,0.065,20,2019-05-01 04:45:00
438569,438569,2358,2019-05-01 05:00:00-05,,0.12,21,2019-05-01 05:00:00
438570,438570,2358,2019-05-01 05:15:00-05,,0.51,22,2019-05-01 05:15:00
438571,438571,2358,2019-05-01 05:30:00-05,,1.425,23,2019-05-01 05:30:00
438572,438572,2358,2019-05-01 05:45:00-05,,0.468,24,2019-05-01 05:45:00
438573,438573,2358,2019-05-01 06:00:00-05,,0.329,25,2019-05-01 06:00:00
